_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,intention,intention:confidence,type_of_donation,type_of_donation:confidence,what,where,who,category,id,intention_gold,screenname,text,type_of_donation_gold,userid,what_gold,who_gold
197558644,true,golden,16,9/8/2012 15:46:03,Invites/asks people to donate/provide/give/do something,0.6333,Volunteers/work,0.8749,"form teams we are sending into the area to help people with clean up
help people with clean up

teams

help
help
Help people clean-up

help people with clean up
clean up
help people with clean up

help people with clean up.
to help people with clean up
help with clean up","into the area
City DistCtr

area

into the area
area
Volunteers City DistCtr







MO","City DistCtr
Volunteers

teams
Volunteers
#MONeeds #Volunteers City DistCtr
#MONeeds #Volunteers City DistCtr
Form teams
Volunteers
City DistCtr
Volunteers
MONeeds #Volunteers City DistCtr



teams","Donations of money, goods or services",73894035332399104,"Invites/asks people to donate/provide/give/do something
Reports that something has been donated/provided/given/done
Both (invites and reports)",NancyArmstrongT, @rqskye: #MONeeds #Volunteers City DistCtr to form teams we are sending into the area to help people with clean up. Open every day 9a ...,Volunteers/work,256116855,,
197558645,false,finalized,3,9/8/2012 08:02:32,Invites/asks people to donate/provide/give/do something,1.0,"Other, or not specified",0.6748,"
help us respond
Txt REDCROSS to 90999,","Joplin
#Joplin &continue our work in other states
in #Joplin","@RedCross
@RedCross
You can help us respond","Donations of money, goods or services",72666576628883200,,gaylapxoxo," @RedCross: You can help us respond in #Joplin &continue our work in other states. Txt REDCROSS to 90999, or online: http://bit.ly/eZJDoJ",,218756210,,
197558646,false,finalized,3,9/8/2012 21:24:18,Invites/asks people to donate/provide/give/do something,0.6771,"Other, or not specified",1.0,"

#HR589","

","

","Donations of money, goods or services",73350972029681600,,RCdeWinter,"@joelieberman #99ers are the same as #tornado victims; the destruction of our lives is just as bad, only slower. PLEASE: #JOBS & #HR589",,41207820,,
197558647,false,finalized,3,9/8/2012 21:52:51,Invites/asks people to donate/provide/give/do something,1.0,Money,0.6436,"

Txt REDCROSS to 90999","Joplin

Joplin","REDCROSS
RedCross
you","Donations of money, goods or services",72794408583561200,,McKayBuzz," @RedCross: You can help us respond in #Joplin &continue our work in other states. Txt REDCROSS to 90999, or online: http://bit.ly/eZJDoJ",,67053584,,
197558648,false,finalized,3,9/8/2012 22:36:09,Reports that something has been donated/provided/given/done,0.6792,Volunteers/work,0.6792,"relief

tornado relief","Alabama

Alabama","

","Donations of money, goods or services",79736272897314800,,chrisnunn, @EmWelsh36: Alabama tornado relief in 101* heat. So rewarding. Not your average Saturday. #volunteering #stormtroopers @chrisnunn htt ...,,17843554,,
197558649,true,golden,14,9/8/2012 22:17:34,Invites/asks people to donate/provide/give/do something,1.0,Money,1.0,"$10 minimum donation
donation
donation
$10
A $10 minimum donation... http://fb.me/14rrB2wII
$10
tornado relief
tornado relief
$10
A $10 minimum donation

A $10 minimum donation
$10 minimum donation
$10 minimum","Massachusetts
Massachusetts
Massachusetts
Massachusetts
Massachusetts
Massachusetts
Massachusetts
in Massachusetts.
Massachusetts
in Massachusetts.

in Massachusetts.
Massachusetts
Salvation Army's tornado relief in Massachusetts","
You
You
Salvation Army
Salvation Army's
You
Salvation Army
Salvation Army's
Salvation Army
You can make a donation

You can make a donation
You
You","Donations of money, goods or services",77717841012469600,Invites/asks people to donate/provide/give/do something,FinckandPerras,You can make a donation via text to the Salvation Army's tornado relief in Massachusetts. A $10 minimum donation... http://fb.me/14rrB2wII,Money,39763528,,
197558650,false,finalized,4,9/8/2012 22:36:09,Reports that something has been donated/provided/given/done,0.7538,"Other, or not specified",0.7538,"donations

awesome jobs
donations","

n/a
","MWRteam

you guys
MWRteam","Donations of money, goods or services",76448442985086800,,sticker231,@MWRteam awesome jobs you guys are doing getting donations for the tornado victims!,,258528352,,
197558651,false,finalized,3,9/8/2012 06:51:09,Both (invites and reports),1.0,Money,1.0,"15% of sales
United Way Tornado Disaster Fund
is donating 15% of sales","23rd/Blackwelder
23rd/Blackwelder Pizza Hut
the United Way Tornado Disaster Fund. Head to 23rd/Blackwelder Pizza Hut","Pizza Hut
Pizza Hut
Pizza Hut","Donations of money, goods or services",77744570376527808,,ShowMeOKC, @tmoneyhoops: TODAY Pizza Hut is donating 15% of sales 2 the United Way Tornado Disaster Fund. Head to 23rd/Blackwelder Pizza Hut today!,,11573792,,
197558652,false,finalized,3,9/8/2012 06:16:09,Reports that something has been donated/provided/given/done,0.359,Money,1.0,"15 dollars
15 dollars
I will donate 15 dollars","

Red Cross for the Tornado Victims across the U.S","@Shirtisred

@Shirtisred","Donations of money, goods or services",75360690617057200,,HisupPD, @Shirtisred: If this tweet gets 15 's...I will donate 15 dollars to the Red Cross for the Tornado Victims across the U.S. :D ! xD,,224041679,,
197558653,false,finalized,3,9/8/2012 06:21:38,Reports that something has been donated/provided/given/done,1.0,"Other, or not specified",1.0,"Prepaid Cell Phones
Serves
Serves Thousands","Tornado Ravaged Areas
Tornado Ravaged Areas
In Tornado Ravaged Areas","Salvation Army Serves Thousands
Salvation Army
Salvation Army","Donations of money, goods or services",75424812020936704,,ibrenda307,Prepaid Cell Phones | Salvation Army Serves Thousands In Tornado Ravaged Areas http://bit.ly/mF0JbY,,275074576,,
197558654,false,finalized,3,9/8/2012 06:32:43,Invites/asks people to donate/provide/give/do something,0.6748,Equipment (machine/generator/pump/etc.),1.0,"ELECTRIC SKILLETS and CROCK POTS
ELECTRIC SKILLETS and CROCK POTS
","#Joplin
Joplin
","

","Donations of money, goods or services",75914726516867008,,MickeyETC, @goMarielle: #MOneeds ELECTRIC SKILLETS and CROCK POTS (gas is shut off still) #Joplin,,125708254,,
197558655,false,finalized,3,9/8/2012 22:11:22,Reports that something has been donated/provided/given/done,1.0,"Other, or not specified",0.6792,"

relief supplies","

","

we","Donations of money, goods or services",73498808092336000,,paulcurtman,Irony: we have just gone from collecting relief supplies for.tornado victims to taking cover in a basement from a possible tornado.,,88028631,,
197558656,false,finalized,4,9/8/2012 22:36:09,Invites/asks people to donate/provide/give/do something,0.514,"Other, or not specified",0.7565,"autograph session

tornado relief
autograph session","Target Plaza


Target Plaza","@MinnesotaTwins


MinnesotaTwins","Donations of money, goods or services",74487449816018800,,bitemark, @MinnesotaTwins: Come check out our autograph session to benefit tornado relief efforts. 11:30 am on Target Plaza.,,816417,,
197558657,false,finalized,3,9/8/2012 07:09:29,Reports that something has been donated/provided/given/done,0.6309,Food,1.0,"baby food for 12 mos or younger
baby food, 7 cases
baby food","Joplin
#Joplin
Joplin","
@xgravity23
","Donations of money, goods or services",74335922044407808,,badasian, @xgravity23: Know someone in #Joplin who needs baby food for 12 mos or younger? I've got 7 cases and can deliver. PLS ,,18789430,,
197558658,false,finalized,3,9/8/2012 22:36:09,Invites/asks people to donate/provide/give/do something,0.6771,"Other, or not specified",0.3564,"
Let's shelter #Joplin
Protest","Joplin
headed to #Joplin this Sunday!
Joplin","Westboro Church
Westboro Church
","Donations of money, goods or services",73888868885217200,,f0zzyguy,@BFlowers24: Westboro Church headed to #Joplin this Sunday! Let's shelter #Joplin from their HATE! Protest the protestors! PLEASE RETWEET!,,104468957,,
197558659,false,finalized,4,9/8/2012 22:36:09,Both (invites and reports),0.7538,"Other, or not specified",0.7566,"
water
collect water
water","
West Town Mall
At West Town Mall
West Town Mall","
93.1 Jamz
93.1 Jamz
93.1 Jamz","Donations of money, goods or services",76364923806027600,,wildkit72," @GabeCarimi: At West Town Mall helping out 93.1 Jamz collect water for the tornado victims in Joplin.  They're here till 6, stop by a ...",,238009765,,
197558660,false,finalized,3,9/8/2012 05:09:27,Invites/asks people to donate/provide/give/do something,0.6249,"Other, or not specified",0.7053,"help
help
","@NAAHQ
Joplin MO
Joplin MO","

","Donations of money, goods or services",73116447412465600,,LisaB2001, @HAAonline: How to help Apartment Communities affected by the Tornado in #Joplin MO via @NAAHQ http://bit.ly/mogMnr,,60922245,,
197558661,false,finalized,4,9/8/2012 22:36:09,Invites/asks people to donate/provide/give/do something,0.7613,"Other, or not specified",1.0,"
donating/helping

Comics","Joplin
@ClareGrant Comics For Joplin Tornado Relief

Joplin","ClareGrant Comics
you

ClareGrant","Donations of money, goods or services",74102651150807008,,lilithsativa,"@ClareGrant Comics For Joplin Tornado Relief http://fb.me/BWiAt9sd please RT, & consider donating/helping if you can...#Joplin",,7604122,,
197558662,false,finalized,3,9/8/2012 22:02:25,Invites/asks people to donate/provide/give/do something,1.0,"Other, or not specified",1.0,"

Help","mo

mo","feedthechildren

","Donations of money, goods or services",73023697123938304,,MLAS, @feedthechildren Help disaster victims at http://www.feedthechildren.org/disasterrelief #mo #tornado #pray,,18204604,,
197558663,false,finalized,3,9/8/2012 07:54:56,None of the above,0.641,"Other, or not specified",1.0,"

","
Alabama
","

","Donations of money, goods or services",72848261140054000,,JordynnDyann,"If anyone has information on where the Samaritan's Purse truck from Alabama will be tomorrow, PLEASE let me know! #fb #joplin #prayforjoplin",,46687975,,
197558664,false,finalized,3,9/8/2012 07:13:10,Reports that something has been donated/provided/given/done,1.0,Equipment (machine/generator/pump/etc.),1.0,"generators, tarps, fuel cans, ice, charcoal & other supplies
generators, tarps, fuel cans, ice, charcoal & other supplies
has generators, tarps, fuel cans, ice, charcoal & other supplies.","#Joplin
Joplin
","#samsclub
samsclub
","Donations of money, goods or services",72787965184716800,,KateJAndersen," @elisemitch:  @samsclubsusan: #samsclub in #Joplin has generators, tarps, fuel cans, ice, charcoal & other supplies. No membership  ...",,50426022,,
197558665,false,finalized,3,9/8/2012 07:03:27,Reports that something has been donated/provided/given/done,1.0,Shelter,1.0,"Shelter
Shelter
Shelter","Campus of MO SO State Univ. @ the Legget & Platt Athletic Center; 3950 Newman Rd #Joplin, Mo
Campus of MO SO State Univ. @ the Legget & Platt Athletic Center; 3950 Newman Rd #Joplin, Mo
3950 Newman Rd #Joplin, Mo","
@OzarksRedCross
","Donations of money, goods or services",72702091298226000,,SoloLetuca," @OzarksRedCross: Shelter is open: Campus of MO SO State Univ. @ the Legget & Platt Athletic Center; 3950 Newman Rd #Joplin, Mo #Tornado",,236502263,,
197558666,false,finalized,3,9/8/2012 21:38:59,Reports that something has been donated/provided/given/done,0.6792,Food,1.0,"100% of kibble
100% of kibble
kibble","Joplin
pets in tornado stricken Joplin
Joplin","Freekibble
aised today by @Freekibble
","Donations of money, goods or services",76261461671952304,,EABL, @halopets: PLEASE : 100% of kibble raised today by @Freekibble will be donated to the homeless pets in tornado stricken Joplin! htt ...,,65648476,,
197558667,false,finalized,3,9/8/2012 21:24:18,Invites/asks people to donate/provide/give/do something,0.6771,Money,1.0,"$1
will donate $1
$1","Joplin
to Heart of Missouri United Way
Joplin","Old Rock House
Old Rock House
Old Rock House","Donations of money, goods or services",73460068191973200,,BigWando, @oldrockhousestl: Old Rock House will donate $1 to Heart of Missouri United Way for Joplin Tornado relief every time this is re-tweet ...,,51819457,,
197558668,false,finalized,3,9/8/2012 05:58:40,Invites/asks people to donate/provide/give/do something,1.0,Money,1.0,"$10 donation
$10
make a $10 donation","Joplin
Joplin
","REDCROSS
REDCROSS
fellow Missourians.","Donations of money, goods or services",73305011882430400,,minzermc, @CLinehan21: @adamlevine please retweet for my fellow Missourians. Text REDCROSS to 90999 to make a $10 donation to Joplin tornado fund.,,242316431,,
197558669,false,finalized,3,9/8/2012 06:37:22,Reports that something has been donated/provided/given/done,0.359,"Other, or not specified",1.0,"donations
donations
coordinating donations","local company
Joplin
","local company
local company
local company","Donations of money, goods or services",74450419551698800,,iServiceHomesNE,"The pet survivors of the #Joplintornado need our help, local company coordinating donations http://dld.bz/abavz",,240432658,,
197558670,false,finalized,4,9/8/2012 22:36:09,Invites/asks people to donate/provide/give/do something,0.7542,"Other, or not specified",1.0,"donate


","
Joplin

","@christoferdrew's


","Donations of money, goods or services",76762390938652608,,samthierry," @mikeziemer: Check out @christoferdrew's (NSN) song ""Time Travel""  w/ footage of the Joplin tornado & ways to donate: http://bit.ly/i ...",,16492143,,
197558671,false,finalized,3,9/8/2012 07:23:34,Reports that something has been donated/provided/given/done,1.0,"Other, or not specified",1.0,"
benefit
","

","Cards-Royals
Cards-Royals
","Donations of money, goods or services",78566102136930304,,MOFarmersCare, @cardinals_raw: Cardinals News:: Cards-Royals series to benefit tornado victims http://bit.ly/lC56GW,,260430476,,
197558672,false,finalized,3,9/8/2012 08:02:32,Invites/asks people to donate/provide/give/do something,1.0,"Other, or not specified",1.0,"Help

","#Joplin & other states
Joplin
","@RedCross
RedCross
","Donations of money, goods or services",74964736596381600,,Marcome, @2morrowknight: Help the @RedCross respond in #Joplin & other states. http://bit.ly/eZJDoJ,,16956020,,
197558673,false,finalized,3,9/8/2012 06:57:22,Reports that something has been donated/provided/given/done,0.6424,Money,1.0,"
10% of sales
10% of sales","
CiCi's Pizza
joplin","
CiCi's Pizza
CiCi's Pizza","Donations of money, goods or services",76726495845949408,,CrazyCoolCrafty, @SippyCupMom: Looking for somewhere to eat for lunch or dinner? CiCi's Pizza is donating 10% of sales to #Joplin today! http://bit.ly ...,,153551696,,
197558674,false,finalized,4,9/8/2012 07:18:05,Invites/asks people to donate/provide/give/do something,0.7427,"Other, or not specified",1.0,"essentials and other donations
essentials and other donations
taking essentials and other donations
essentials and other donations","Joplin
places, for #Joplin

Joplin","places


","Donations of money, goods or services",78908570523017200,,dashripkin, @JoplinMoTornado: Link to places taking essentials and other donations for #Joplin http://bit.ly/ka1Tr1 from @joplincritical,,79393154,,
197558675,false,finalized,3,9/8/2012 07:09:29,Reports that something has been donated/provided/given/done,1.0,"Other, or not specified",1.0,"

","Local Communities Affected by Southern Tornado Disasters

","Avon

Avon","Donations of money, goods or services",75088293729009600,,CatheyEast,Avon Responds to Local Communities Affected by Southern Tornado Disasters with Avon Cares Tour: Established to H... http://bit.ly/l2U1Gg,,16072937,,
197558676,false,finalized,3,9/8/2012 07:51:31,Reports that something has been donated/provided/given/done,0.641,"Other, or not specified",1.0,"Assistance
Assistance
","Fairview Recreation center
Fairview Recreation
","@EllisonCampaign

","Donations of money, goods or services",73429563790737408,,ProgressPundit, @EllisonCampaign: Assistance for tornado victims is available at Fairview Recreation center. Please spread the word - http://bit.ly/j ...,,154334319,,
197558677,false,finalized,3,9/8/2012 22:02:25,Invites/asks people to donate/provide/give/do something,1.0,"Other, or not specified",1.0,"

","MA

MA","

","Donations of money, goods or services",77445802020179904,,, @eric_andersen: 3 ways to donate for MA tornado victims:,,,,
197558678,false,finalized,3,9/8/2012 22:19:59,Invites/asks people to donate/provide/give/do something,0.6771,"Other, or not specified",0.6792,"

search Joplin Tornado Citizen checks on Facebook","Joplin

Joplin","

Those in Joplin who can check on their neighbors","Donations of money, goods or services",72534609795104704,,RachelleMathis,@BreakingNews Those in #Joplin who can check on their neighbors should search Joplin Tornado Citizen checks on Facebook.,,303534753,,
197558679,false,finalized,3,9/8/2012 06:21:38,None of the above,1.0,"Other, or not specified",1.0,"

","

","

","Donations of money, goods or services",77539478478127104,,danideeeXO," @AlexisKWPCEO: Birdman bets 2million on Miami Heat I wonder how much all these millionaires gave to the tornado, earthquake, flood vi ...",,217364367,,
197558680,false,finalized,3,9/8/2012 07:51:31,Invites/asks people to donate/provide/give/do something,1.0,"Other, or not specified",0.6748,"help

help text REDC","text REDC
Joplin, MO
Joplin, MO","those who want to help

For those who want to help","Donations of money, goods or services",72871116724633600,,sox309," @michaelgibby1: @geoffogilvy please  for those affected by the horrific Tornado in Joplin, MO! For those who want to help text REDC ...",,45479613,,
197558681,false,finalized,3,9/8/2012 07:23:34,Both (invites and reports),0.6841,Money,1.0,"22K
22K
22K","@A29midwest partner @mysterychurch

","@A29midwest partner @mysterychurch

@A29midwest","Donations of money, goods or services",73910940600512400,,StephenMiller," @bobick: As of today 22K has been raised  4 the tornado victims thru our @A29midwest partner @mysterychurch, let's keep it going:http ...",,24924797,,
197558682,false,finalized,3,9/8/2012 06:47:17,Invites/asks people to donate/provide/give/do something,1.0,"Other, or not specified",0.6748,"
help
text REDCROSS to 90999, or ARMY to 90999","Joplin
REDCROSS to 90999, or ARMY to 90999
Joplin","Salvation Army

to assist Salvation Army.","Donations of money, goods or services",72662697761710000,,SysAdmKC," @vivid13: The best way to help #Joplin right now is text REDCROSS to 90999, or ARMY to 90999 to assist the Salvation Army.",,15031806,,
197558683,false,finalized,3,9/8/2012 22:11:22,Invites/asks people to donate/provide/give/do something,0.6771,"Other, or not specified",1.0,"Tornado Relief

","

tula","Quilters & Crafters

Quilters & Crafters","Donations of money, goods or services",73864161834176400,,stitchinheaven,Attn: Quilters & Crafters lets bond together in the Tornado Relief #tulatroops,,15379654,,
197558684,false,finalized,3,9/8/2012 21:24:18,Invites/asks people to donate/provide/give/do something,1.0,Money,1.0,"$10
donate $10
$10","Joplin

Joplin","redcross
REDCROSS
","Donations of money, goods or services",72799735819415504,,DaveShreeve," @Whitney1109: @TCrabtree83 To help #Joplin tornado victims, others: text REDCROSS to 90999 to donate $10; donate online redcross.org  ...",,139960190,,
197558685,false,finalized,3,9/8/2012 06:47:17,Reports that something has been donated/provided/given/done,1.0,"Other, or not specified",1.0,"

will headline ""Music City Gives Back""","

","Rodney Atkins
Rodney Atkins
Rodney Atkins","Donations of money, goods or services",73901302983299008,,CatCountryRadio,"Atkins tops tornado relief show: Rodney Atkins will headline ""Music City Gives Back"" on Jun... http://bit.ly/lZDfNp http://bit.ly/lFnnh0",,298468774,,
197558686,false,finalized,3,9/8/2012 07:27:01,Invites/asks people to donate/provide/give/do something,0.641,Blood,1.0,"O

","Community Blood Center at Northpark Mall
Northpark Mall
at Northpark Mall","
Community Blood Center
","Donations of money, goods or services",72741800464490400,,MadSciKat, @calebhays: Community Blood Center at Northpark Mall only accepting O-  #joplin,,15176566,,
197558687,false,finalized,3,9/8/2012 06:52:06,Reports that something has been donated/provided/given/done,0.7053,Money,0.6249,"fund
fund to help the pets
fund","
Joplin
Joplin","

","Donations of money, goods or services",75346344922980304,,iServiceHomesNE,"The #Joplin #tornado is the 9th deadliest in the US, here's a fund to help the pets http://dld.bz/abavz",,240432658,,
