_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,choose_one,choose_one:confidence,choose_one_gold,predicted,text_no_rt,tweet
204690727,false,finalized,3,10/6/2012 03:11:03,Informative (Indirect),0.3607,,Informative (Indirect),@hidama @ambersplace On Thursday we'll collect supplies 7a-7p at 23rd St Zarco. Water Food Toiletries and... http://bit.ly/mbWCzD #Joplin,@hidama @ambersplace On Thursday we'll collect supplies 7a-7p at 23rd St Zarco. Water Food Toiletries and... http://bit.ly/mbWCzD #Joplin
204690729,false,finalized,3,10/6/2012 03:28:37,Informative (Direct or Indirect),1.0,,Informative (Indirect),DENTON: Take shelter. Possible tornado just to the west of where I-35W and I-35E meet.,RT @cbs11news: DENTON: Take shelter. Possible tornado just to the west of where I-35W and I-35E meet.
204690730,true,golden,6,10/6/2012 03:22:31,Informative (Indirect),0.8487,Informative (Indirect),Informative (Indirect),Tornado in Denton County TX now reported to be near Lantana. Warning info and radar: http://wxch.nl/laelgs,RT @TWCBreaking: Tornado in Denton County TX now reported to be near Lantana. Warning info and radar: http://wxch.nl/laelgs
204690731,true,golden,1,10/5/2012 01:39:32,Informative (Indirect),1.0,Informative (Direct or Indirect),Informative (Indirect),About 1500 people unaccounted for in #joplin. many of those may be alive just can't reach loved ones. #ac360 10p,RT @andersoncooper: About 1500 people unaccounted for in #joplin. many of those may be alive just can't reach loved ones. #ac360 10p
204690732,false,finalized,4,10/4/2012 03:11:30,Informative (Direct),0.5169,,Informative (Indirect),@facethewind_com Awesome tornado picture Dave. May we use it on msnbc.com?,@facethewind_com Awesome tornado picture Dave. May we use it on msnbc.com?
204690733,false,finalized,3,10/5/2012 19:43:29,Informative (Direct or Indirect),1.0,,Informative (Indirect),Platte County MO until a tornado watch until 3a.m.,Platte County MO until a tornado watch until 3a.m.
204690734,false,finalized,6,10/5/2012 06:30:35,Personal only,0.6981,,Informative (Indirect),Psalm 7:13  [God] hath also prepared for [the wicked] the instruments of death; he ordaineth his arrows against the persec ...,RT @WBCVideo: Psalm 7:13  [God] hath also prepared for [the wicked] the instruments of death; he ordaineth his arrows against the persec ...
204690735,true,golden,5,10/6/2012 00:55:33,Informative (Indirect),0.5742,"Informative (Direct)
Informative (Direct or Indirect)",Informative (Indirect),Tornado WARNING for Tarrant county. Storm spotters were reporting a funnel cloud but the heavy rain has wrapped around the area.,Tornado WARNING for Tarrant county. Storm spotters were reporting a funnel cloud but the heavy rain has wrapped around the area.
204690736,false,finalized,3,10/5/2012 14:36:43,Informative (Direct or Indirect),1.0,,Informative (Indirect),Rice County has again been placed under a Severe Thunderstorm Warning until 8pm. Currently Barton County is under a Tornado Warning.,Rice County has again been placed under a Severe Thunderstorm Warning until 8pm. Currently Barton County is under a Tornado Warning.
204690737,true,golden,2,10/5/2012 01:12:58,Informative (Indirect),1.0,Other,Informative (Indirect),http://www.redcross.org/www-files/Documents/pdf/Preparedness/checklists/Tornado.pdf,RT @grandmaspantry: http://www.redcross.org/www-files/Documents/pdf/Preparedness/checklists/Tornado.pdf
204690738,false,finalized,3,10/5/2012 15:37:43,Informative (Direct or Indirect),1.0,,Informative (Indirect),Tornado warning for N. Tarrant County TX (northern Fort Worth area).  Softball size hail possible too. Warning info: h ...,RT @TWCBreaking: Tornado warning for N. Tarrant County TX (northern Fort Worth area).  Softball size hail possible too. Warning info: h ...
204690739,false,finalized,3,10/3/2012 06:11:57,Informative (Direct or Indirect),0.3919,,Informative (Indirect),Text REDCROSS to 90999 to help the victims of the Joplin tornado.,Text REDCROSS to 90999 to help the victims of the Joplin tornado.
204690740,false,finalized,3,10/3/2012 23:48:15,Informative (Indirect),0.6947,,Informative (Indirect),Speechless. RT:@slmandel If the tornado wreckage photos haven't gotten to you this before-and-after in Joplin will. http: ...,RT @msmallm2: Speechless. RT:@slmandel If the tornado wreckage photos haven't gotten to you this before-and-after in Joplin will. http: ...
204690741,false,finalized,3,10/5/2012 00:32:26,Informative (Direct or Indirect),0.654,,Informative (Indirect),#SAFETYALERT Folks in #Oklahoma #Kansas #Arkansas & #Missouri watch the @weatherchannel #TheWeatherChannel for #tornado dangers in your area,#SAFETYALERT Folks in #Oklahoma #Kansas #Arkansas & #Missouri watch the @weatherchannel #TheWeatherChannel for #tornado dangers in your area
204690742,false,finalized,4,10/6/2012 03:35:03,Informative (Direct or Indirect),0.4803,,Informative (Indirect),"Rep. Long @auctnr1 on #FEMA response to #Joplin tornado: ""On a scale from 1 to 10 I'd put 'em at a 12.""","RT @davecatanese: Rep. Long @auctnr1 on #FEMA response to #Joplin tornado: ""On a scale from 1 to 10 I'd put 'em at a 12."""
204690743,false,finalized,3,10/5/2012 00:44:57,Informative (Indirect),0.3543,,Informative (Indirect),After saying he'd withhold tornado relief funds National Weather Service upgraded Eric Cantor to a category-5 Asshole.,RT @FrankConniff: After saying he'd withhold tornado relief funds National Weather Service upgraded Eric Cantor to a category-5 Asshole.
204690744,false,finalized,4,10/5/2012 01:10:48,Informative (Direct or Indirect),0.5231,,Informative (Indirect),That artic Vs tornado I mentioned earlier... http://goo.gl/suVye  The driver is apparently OK - result.,That artic Vs tornado I mentioned earlier... http://goo.gl/suVye  The driver is apparently OK - result.
204690745,false,finalized,3,10/6/2012 03:03:23,Informative (Direct or Indirect),0.6601,,Informative (Indirect),Tornado warning now in Washington County and NE Osage County  OK...take shelter now. #okwx,RT @SabzBrach: RT @MichaelGalvin01: Tornado warning now in Washington County and NE Osage County  OK...take shelter now. #okwx
204690746,false,finalized,4,10/3/2012 14:05:45,Informative (Direct or Indirect),1.0,,Informative (Indirect),if you live in northern tarrant county stay alert. a tornado may be on the ground near azle. its moving east at 40mph.,RT @wfaaweather: if you live in northern tarrant county stay alert. a tornado may be on the ground near azle. its moving east at 40mph.
204690747,true,golden,1,10/5/2012 01:37:49,Informative (Indirect),1.0,Informative (Indirect),Informative (Indirect),RT @AP: BREAKING: Authorities say death toll from Joplin Mo. tornado now at 122; more than 750 people injured -CC,RT @AP: BREAKING: Authorities say death toll from Joplin Mo. tornado now at 122; more than 750 people injured -CC
204690748,true,golden,1,10/5/2012 01:32:14,Informative (Direct or Indirect),1.0,Informative (Direct),Informative (Indirect),5 dead and search going on for missing child after it was sucked from mother's arm as they huddled in bathroom. #OKwx,5 dead and search going on for missing child after it was sucked from mother's arm as they huddled in bathroom. #OKwx
204690749,true,golden,5,10/5/2012 09:45:18,Informative (Indirect),0.8097,Informative (Indirect),Informative (Indirect),Awful RT @cnnbrk #Tornado that killed 122 in Joplin Missouri was EF-5 with top winds of 200+ mph http://on.cnn.com/meJujw,Awful RT @cnnbrk #Tornado that killed 122 in Joplin Missouri was EF-5 with top winds of 200+ mph http://on.cnn.com/meJujw
204690751,true,golden,4,10/6/2012 03:23:15,Informative (Indirect),0.7684,Informative (Indirect),Informative (Indirect),Kansas City Royals (Official Site) &gt;&gt; Heart to Heart KC helping tornado victims http://buzztap.com/-UUfY70,Kansas City Royals (Official Site) &gt;&gt; Heart to Heart KC helping tornado victims http://buzztap.com/-UUfY70
204690752,false,finalized,4,10/3/2012 13:26:37,Informative (Indirect),0.7602,,Informative (Indirect),SPC Tornado Watch 363 Status Reports http://dlvr.it/StNQS,SPC Tornado Watch 363 Status Reports http://dlvr.it/StNQS
204690753,false,finalized,3,10/6/2012 03:23:15,Informative (Direct or Indirect),1.0,,Informative (Indirect),Ghoshen/Springtown in Parker county TAKE TORNADO PRECAUTIONS,RT @etillisch68: Ghoshen/Springtown in Parker county TAKE TORNADO PRECAUTIONS
204690754,false,finalized,3,10/5/2012 02:15:23,Personal only,0.6544,,Informative (Indirect),June Advertising Special! 6 spots open and 100% of proceeds will go to help #Joplin Mo Tornado Victims. Please RT!  ht ...,RT @SippyCupMom: June Advertising Special! 6 spots open and 100% of proceeds will go to help #Joplin Mo Tornado Victims. Please RT!  ht ...
204690755,false,finalized,3,10/5/2012 01:13:21,Informative (Direct or Indirect),0.6759,,Informative (Indirect),Birmingham tornado debris cleanup contracts go to 3 firms; mayor... http://bit.ly/kK5iLe #Birmingham #AL,Birmingham tornado debris cleanup contracts go to 3 firms; mayor... http://bit.ly/kK5iLe #Birmingham #AL
204690756,true,golden,1,10/5/2012 01:25:30,Other,1.0,Informative (Direct),Informative (Indirect),pray for the people  in Joplin Missouri. The tornado killed a lot of people,pray for the people  in Joplin Missouri. The tornado killed a lot of people
204690757,true,golden,3,10/5/2012 01:13:39,Informative (Direct or Indirect),1.0,Informative (Direct),Informative (Indirect),Also a tornado warning for Wise and Denton Counties in Texas...,Also a tornado warning for Wise and Denton Counties in Texas...
204690758,false,finalized,3,10/6/2012 01:50:08,Informative (Indirect),1.0,,Informative (Indirect),JFC. RT @TWCBreaking: New tornado watch until 3am CDT for western MO.  Includes #Joplin.  More info: http://wxch.nl/k6CgxX,JFC. RT @TWCBreaking: New tornado watch until 3am CDT for western MO.  Includes #Joplin.  More info: http://wxch.nl/k6CgxX
204690759,false,finalized,3,10/4/2012 07:50:15,Informative (Direct or Indirect),1.0,,Informative (Indirect),Collin/Dallas  County need to be ready to take cover within the next 20-30 minutes. You need to be  ...,RT @RedCrossDallas: RT @WxChris2011: Collin/Dallas  County need to be ready to take cover within the next 20-30 minutes. You need to be  ...
204690760,true,golden,3,10/5/2012 00:32:33,Informative (Indirect),1.0,Informative (Indirect),Informative (Indirect),BREAKING NEWS: From AP - at least 4 dead after tornado hit Oklahoma City area. Widespread Tornado Warnings remain in effect. #okwx #nc5,BREAKING NEWS: From AP - at least 4 dead after tornado hit Oklahoma City area. Widespread Tornado Warnings remain in effect. #okwx #nc5
204690761,false,finalized,4,10/5/2012 09:45:52,Personal only,0.4924,,Informative (Indirect),Rangers game in a tornado? Perf. @mirandahuebner,Rangers game in a tornado? Perf. @mirandahuebner
204690762,true,golden,6,10/6/2012 00:56:48,Personal only,0.825,Personal only,Informative (Indirect),@JacksonRathbone I'm worried about you because of the tornado! take care dear!,@JacksonRathbone I'm worried about you because of the tornado! take care dear!
204690763,true,golden,67,10/6/2012 03:35:30,Personal only,0.6502,"Personal only
Other",Informative (Indirect),.man here dhey qo wit dis tornado shxt aqain.!,.man here dhey qo wit dis tornado shxt aqain.!
204690764,false,finalized,3,10/5/2012 01:11:27,Informative (Direct or Indirect),0.6839,,Informative (Indirect),Tornado Watch just issued for western and southwestern Missouri till 3AM. Does NOT include Columbia or Jeff City at thi ...,RT @JustinABC17: Tornado Watch just issued for western and southwestern Missouri till 3AM. Does NOT include Columbia or Jeff City at thi ...
204690765,false,finalized,5,10/4/2012 06:44:28,Personal only,0.4117,,Informative (Indirect),Just watched the news. Am sorry for the people living in Missouri they're place became devastated after the tornado attack,Just watched the news. Am sorry for the people living in Missouri they're place became devastated after the tornado attack :((
204690767,false,finalized,4,10/5/2012 11:13:52,Informative (Direct),0.2858,,Informative (Indirect),Obama heading to tornado-slammed Missouri this weekend | OnyxBook,Obama heading to tornado-slammed Missouri this weekend | OnyxBook
204690768,false,finalized,3,10/5/2012 02:13:50,Informative (Indirect),0.3489,,Informative (Indirect),@MarioLopezExtra Actor @paulwalker47 's charity #ROWW.org needs #Donations so that they can deploy a team to #Joplin. Plz RT #HelpJoplin,@MarioLopezExtra Actor @paulwalker47 's charity #ROWW.org needs #Donations so that they can deploy a team to #Joplin. Plz RT #HelpJoplin
204690769,true,golden,127,10/6/2012 03:29:19,Other,0.8824,Other,Informative (Indirect),Muertes por tornado en Misuri se elevan a 122 http://bit.ly/iYx5hw #USA #EEUU,RT @lapatriagrande: Muertes por tornado en Misuri se elevan a 122 http://bit.ly/iYx5hw #USA #EEUU
204690770,false,finalized,4,10/4/2012 07:55:35,Informative (Direct or Indirect),1.0,,Informative (Indirect),Triage: Safety first then shout/move walking wounded to safe place  #1stAid4 #okwx #Joplin,RT @HighPeak1stAid: Triage: Safety first then shout/move walking wounded to safe place  #1stAid4 #okwx #Joplin
204690771,false,finalized,3,10/5/2012 08:43:53,Informative (Indirect),0.624,,Informative (Indirect),my friend near joplin is a ham radio operator and he was correct. #tornado,my friend near joplin is a ham radio operator and he was correct. #tornado
204690772,false,finalized,3,10/3/2012 16:17:42,Informative (Direct),0.361,,Informative (Indirect),Tornado reported in Denton County Texas near I-35 W and FM 407. @Ambieno,RT @TWCBreaking: Tornado reported in Denton County Texas near I-35 W and FM 407. @Ambieno
204690773,false,finalized,3,10/6/2012 03:29:09,Personal only,0.692,,Informative (Indirect),Any idea what KFOR is using for live streaming video from reporter's cars chasing the storms? #okwx,Any idea what KFOR is using for live streaming video from reporter's cars chasing the storms? #okwx
204690774,false,finalized,3,10/3/2012 14:05:45,Informative (Direct or Indirect),0.3501,,Informative (Indirect),@TheEllenShow Actor @paulwalker47 's charity #ROWW.org needs #Donations so that they can deploy a team to #Joplin. Plz RT #HelpJoplin,@TheEllenShow Actor @paulwalker47 's charity #ROWW.org needs #Donations so that they can deploy a team to #Joplin. Plz RT #HelpJoplin
204690775,false,finalized,3,10/5/2012 00:47:03,Informative (Direct or Indirect),0.7005,,Informative (Indirect),Insane tornado warning....? Cool. Let's hide.,Insane tornado warning....? Cool. Let's hide.
204690776,false,finalized,3,10/6/2012 03:15:15,Informative (Indirect),0.7063,,Informative (Indirect),Cantor/GOP say no aid 2 tornado victims!! really! R these the ppl U want 2 run our country?? http://bit.ly/jrZKNd #Joplin,RT @KOStrohbehn: Cantor/GOP say no aid 2 tornado victims!! really! R these the ppl U want 2 run our country?? http://bit.ly/jrZKNd #Joplin
204690777,false,finalized,5,10/5/2012 03:58:18,Informative (Direct or Indirect),0.8114,,Informative (Indirect),Damaging wind threat coming into Tulsa OK #tornado #okwx,RT @JimCantore: Damaging wind threat coming into Tulsa OK #tornado #okwx
204690778,false,finalized,5,10/3/2012 11:35:33,Informative (Direct),0.7814,,Informative (Indirect),Tornado sirens just went off in Tulsa.  http://twitpic.com/524dsf,Tornado sirens just went off in Tulsa.  http://twitpic.com/524dsf
204690779,false,finalized,3,10/4/2012 22:09:12,Personal only,0.64,,Informative (Indirect),Sitting front and center at #StMichael city council tonight. Let's hope for a quieter night than 5-10-11 (two weeks ago) #tornado.,Sitting front and center at #StMichael city council tonight. Let's hope for a quieter night than 5-10-11 (two weeks ago) #tornado.
204690780,false,finalized,3,10/5/2012 14:39:07,Personal only,0.3515,,Informative (Indirect),Only in Arkansas the ice-cream man would be still driving around neighborhoods when there's about to be a tornado!!  http://t.co/2TxXCJ0,Only in Arkansas the ice-cream man would be still driving around neighborhoods when there's about to be a tornado!!  http://t.co/2TxXCJ0
204690781,true,golden,3,10/5/2012 04:07:46,Informative (Indirect),0.6854,Informative (Indirect),Informative (Indirect),Joplin Missouri where at least 124 died Sunday under #tornado watch http://on.cnn.com/k1ZN2b,RT @cnnbrk: Joplin Missouri where at least 124 died Sunday under #tornado watch http://on.cnn.com/k1ZN2b
204690782,false,finalized,4,10/5/2012 14:34:07,Informative (Indirect),0.52,,Informative (Indirect),MSSU establishes fund for faculty staff and students impacted by tornado -... http://fb.me/GQiEYO0q,MSSU establishes fund for faculty staff and students impacted by tornado -... http://fb.me/GQiEYO0q
204690783,false,finalized,3,10/5/2012 01:07:56,Other,0.3949,,Informative (Indirect),No Kris we didn't cut the budget so @ericcantor cancelled it RT @KrisKetz 3am tornado watch Kansas City metro extends south to Joplin.,No Kris we didn't cut the budget so @ericcantor cancelled it RT @KrisKetz 3am tornado watch Kansas City metro extends south to Joplin.
204690784,false,finalized,3,10/5/2012 04:04:43,Informative (Direct or Indirect),0.6755,,Informative (Indirect),3am tornado watch Kansas City metro extends south to Joplin. #fb,3am tornado watch Kansas City metro extends south to Joplin. #fb
204690785,true,golden,7,10/6/2012 03:29:09,Informative (Direct),0.7288,Informative (Direct),Informative (Indirect),Tornado sirens going off near DFW Airport!,Tornado sirens going off near DFW Airport!
204690786,false,finalized,3,10/6/2012 03:11:03,Informative (Indirect),0.372,,Informative (Indirect),Don't forget 2 check Safe & Well site if U R still not able 2 connect with #Joplin https://safeandwell.communityos.o ...,RT @OzarksRedCross: Don't forget 2 check Safe & Well site if U R still not able 2 connect with #Joplin https://safeandwell.communityos.o ...
204690788,false,finalized,8,10/4/2012 04:08:41,Informative (Direct or Indirect),0.5088,,Informative (Indirect),@mpike4 RT @LJWorld: Tornado watches now cover ALL of northeast Kansas including Douglas County.  #ksstorms,@mpike4 RT @LJWorld: Tornado watches now cover ALL of northeast Kansas including Douglas County.  #ksstorms
204690789,true,golden,2,10/5/2012 01:24:28,Informative (Direct or Indirect),1.0,Informative (Direct),Informative (Indirect),Another very dangerous storm possible #tornado just NE of Leon #Oklahoma. Seek shelter NE of this cell! #OKWX Follow 4 updates.,Another very dangerous storm possible #tornado just NE of Leon #Oklahoma. Seek shelter NE of this cell! #OKWX Follow 4 updates.
204690790,false,finalized,3,10/5/2012 22:11:29,Personal only,1.0,,Informative (Indirect),U no y I luv twitter? Ive met peeps all across the usa. Can my tweeps pray/have good thoughts for my girl @soonerleesa? Shes in tornado ally,U no y I luv twitter? Ive met peeps all across the usa. Can my tweeps pray/have good thoughts for my girl @soonerleesa? Shes in tornado ally
204690791,true,golden,8,10/6/2012 03:27:25,Informative (Indirect),1.0,Informative (Indirect),Informative (Indirect),[Reuters US] Two dead from Oklahoma tornado: OKLAHOMA CITY (Reuters) - Two people died when a tornado struck El ... http://bit.ly/jhGE7r,[Reuters US] Two dead from Oklahoma tornado: OKLAHOMA CITY (Reuters) - Two people died when a tornado struck El ... http://bit.ly/jhGE7r
204690792,false,finalized,3,10/4/2012 22:08:02,Informative (Indirect),0.678,,Informative (Indirect),BREAKING - NWS says Joplin tornado was an EF-5 with wind speeds over 200 mph.  Death toll now at 122 with 750 hurt.,RT @cbs11news: BREAKING - NWS says Joplin tornado was an EF-5 with wind speeds over 200 mph.  Death toll now at 122 with 750 hurt.
204690793,false,finalized,3,10/5/2012 21:33:05,Informative (Indirect),0.6207,,Informative (Indirect),New Tornado watch just issued for Triangle and NE NC. #ncwx,New Tornado watch just issued for Triangle and NE NC. #ncwx
204690794,true,golden,3,10/5/2012 01:26:16,Other,1.0,Informative (Direct),Informative (Indirect),URGENTE: Reportes de tornado han tocado tierra cerca a Russett Oklahoma reporta The Weather Channel.,URGENTE: Reportes de tornado han tocado tierra cerca a Russett Oklahoma reporta The Weather Channel.
204690795,false,finalized,3,10/6/2012 00:50:43,Informative (Indirect),0.3787,,Informative (Indirect),@Tyrese Actor @paulwalker47 's charity #ROWW.org needs #Donations so that they can deploy a team to #Joplin. Plz RT #HelpJoplin,@Tyrese Actor @paulwalker47 's charity #ROWW.org needs #Donations so that they can deploy a team to #Joplin. Plz RT #HelpJoplin
204690796,true,golden,3,10/6/2012 03:24:35,Informative (Direct or Indirect),1.0,Informative (Direct or Indirect),Informative (Indirect),There is a tornado headed right for us.... 8:05 ETA,There is a tornado headed right for us.... 8:05 ETA
204690797,false,finalized,5,10/3/2012 05:37:03,Informative (Indirect),0.8039,,Informative (Indirect),InfoMusic : Lauren Alaina's 'American Idol' Run Brightens Tornado-Weary Hometown http://dlvr.it/StK6t,InfoMusic : Lauren Alaina's 'American Idol' Run Brightens Tornado-Weary Hometown http://dlvr.it/StK6t
204690799,false,finalized,3,10/4/2012 19:36:26,Personal only,1.0,,Informative (Indirect),This dude on cnn is being interviewed about the tornado in a dominos pizza uniform,This dude on cnn is being interviewed about the tornado in a dominos pizza uniform
204690800,false,finalized,3,10/3/2012 01:34:39,Informative (Indirect),0.3523,,Informative (Indirect),DEVELOPING: RT @MyTexasWeather: AMATEUR RADIO REPORTS SEVERAL HOMES DAMAGED BY TORNADO IN SPRINGTOWN TX (Parker Co ...,RT @stormchaser4850: DEVELOPING: RT @MyTexasWeather: AMATEUR RADIO REPORTS SEVERAL HOMES DAMAGED BY TORNADO IN SPRINGTOWN TX (Parker Co ...
204690801,true,golden,2,10/5/2012 01:23:36,Informative (Direct or Indirect),1.0,Informative (Direct),Informative (Indirect),Deadly tornado kills 124 leaves 'twilight zone' in its wake: The tornado that struck Joplin Missouri Sunday killed 124 people aut...,Deadly tornado kills 124 leaves 'twilight zone' in its wake: The tornado that struck Joplin Missouri Sunday killed 124 people aut...
204690802,false,finalized,4,10/5/2012 00:09:41,Informative (Direct or Indirect),1.0,,Informative (Indirect),Tornado watch just issued for Joplin Mo,Tornado watch just issued for Joplin Mo
204690803,false,finalized,3,10/6/2012 02:50:34,Personal only,0.653,,Informative (Indirect),#tornado victims USA is watching in horror with you.,#tornado victims USA is watching in horror with you.
204690804,false,finalized,3,10/5/2012 01:10:48,Informative (Indirect),1.0,,Informative (Indirect),Tornado in broken arrow http://ow.ly/1cQOkn,Tornado in broken arrow http://ow.ly/1cQOkn
204690805,true,golden,6,10/5/2012 19:00:09,Informative (Indirect),0.8189,Informative (Indirect),Informative (Indirect),Many Still Unaccounted for After Joplin Tornado http://p.ost.im/p/cmFcB,Many Still Unaccounted for After Joplin Tornado http://p.ost.im/p/cmFcB
204690806,false,finalized,3,10/3/2012 13:40:43,Informative (Direct or Indirect),0.6828,,Informative (Indirect),St. John's Regional Medical Center employees please check in at 888-986-3729 they are wanting your status. #Joplin #fb,St. John's Regional Medical Center employees please check in at 888-986-3729 they are wanting your status. #Joplin #fb
204690807,true,golden,7,10/6/2012 03:35:03,Personal only,1.0,Personal only,Informative (Indirect),And if a tornado comes Blas whatever you do save the espresso machine. - Bobby to the night shift http://tumblr.com/xsa2o7bt6p,And if a tornado comes Blas whatever you do save the espresso machine. - Bobby to the night shift http://tumblr.com/xsa2o7bt6p
204690808,false,finalized,3,10/3/2012 14:18:32,Informative (Indirect),1.0,,Informative (Indirect),q2 @USAToday says the tornado in Joplin was one of the deadliest in history.  #agchat,q2 @USAToday says the tornado in Joplin was one of the deadliest in history.  #agchat
204690809,false,finalized,6,10/4/2012 08:30:41,Informative (Direct or Indirect),0.6726,,Informative (Indirect),NEW Tornado Watch now includes western #MO incl #KC #Joplin #Springfield until 3am...greater concern for damaging wind i ...,RT @JeffABC17: NEW Tornado Watch now includes western #MO incl #KC #Joplin #Springfield until 3am...greater concern for damaging wind i ...
204690810,false,finalized,3,10/6/2012 03:29:09,Informative (Direct or Indirect),1.0,,Informative (Indirect),Tornado warning for Denton County until 8:15,Tornado warning for Denton County until 8:15
204690811,false,finalized,3,10/6/2012 03:33:21,Informative (Direct or Indirect),0.6533,,Informative (Indirect),#Tornado Warning for Wise County. Storm moving east and will impact Denton county in the next 30 minutes.  #txwx,RT @txstormchasers: #Tornado Warning for Wise County. Storm moving east and will impact Denton county in the next 30 minutes.  #txwx
204690812,false,finalized,3,10/5/2012 14:03:54,Personal only,1.0,,Informative (Indirect),Lurch thanks for all the tweets from Tornado Alley...#fail.,RT @moneymetalcakes: Lurch thanks for all the tweets from Tornado Alley...#fail.
204690813,false,finalized,4,10/5/2012 11:12:38,Personal only,0.7839,,Informative (Indirect),The tornado blew this bible verse in my back yard. Read the first line...that's disturbing.  http://twitpic.com/52435m,The tornado blew this bible verse in my back yard. Read the first line...that's disturbing.  http://twitpic.com/52435m
204690814,true,golden,3,10/6/2012 00:58:18,Other,1.0,Other,Informative (Indirect),wtf alerta de tornado no mams !!! Siguen sonando las alarmas bien intensas,wtf alerta de tornado no mams !!! Siguen sonando las alarmas bien intensas
204690815,false,finalized,3,10/5/2012 13:57:25,Informative (Direct or Indirect),0.6314,,Informative (Indirect),Deadly tornado kills 122 leaves 'twilight zone' in its wake: The tornado that struck Joplin Missouri Sunday killed 122 people aut...,Deadly tornado kills 122 leaves 'twilight zone' in its wake: The tornado that struck Joplin Missouri Sunday killed 122 people aut...
