_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,choose_one,choose_one:confidence,choose_one_gold,id,retweetcount,screenname,text,userid
191082779,false,finalized,3,8/12/2012 13:15:01,"Donations of money, goods or services",1.0,,73542786128940896,0,codychaloner, @DaneMiodov helping a family hit by tornado. 5310 S Western come join us/ look for the orange tshirt by the driveway on west side of road,14815018
191082780,true,golden,10,8/12/2012 14:09:45,Information source,1.0,Casualties and damage,73443362744700800,2,foxnewsvideo,Incredible video: #Tornado tears through Oklahoma: http://fxn.ws/jqECzA,204386512
191082781,true,golden,32,8/12/2012 14:12:04,Caution and advice,0.6753,"Caution and advice
Unknown",78720383955644400,0,vanjo57,In the U.S. they have tornado watch.. In Saint John we have severe thunderstorm watch.. #Seriously? What's the point of thunderstorm watch?,36396275
191082782,false,finalized,3,8/12/2012 13:26:50,Unknown,0.3517,,78894430412742496,0,matternst34,"Watching the dry line move east. Dry in Lubbock but a few storms psbl SE Panhandle, Rolling Plains later today: http://t.co/oraK9M1 #txwx",68823780
191082783,true,golden,18,8/12/2012 14:18:50,Information source,0.8315,"People missing, found or seen",74915209550110704,0,Patricabhg,"Obama visits tornado-ravaged Joplin; renamed hospital reopens: President Barack Obama visited tattered Joplin, M... http://bit.ly/iexppM",224621438
191082784,false,finalized,4,8/12/2012 14:25:46,Caution and advice,0.2859,,74896739538190304,0,hannahrandolph7,At mssu for memorial service. #Joplin #superwindy,255199957
191082785,true,golden,35,8/12/2012 14:13:46,"Donations of money, goods or services",0.7698,"Donations of money, goods or services",73909224010293200,11,theresamax," @BFleschman: @kurt13warner a friend who lost everything in recent tornado in Joplin, MO. Please donate to www.joplintornadoreliefforb ...",247744426
191082786,true,golden,35,8/12/2012 14:07:29,Information source,0.6869,Information source,75372145722671104,1,SocialMichelleR, @lindaperrybarr: Hi everyone! Want to share http://bit.ly/l3MxtA @BrianStelter's tumbler on using twitter to cover #Joplin and lesson ...,104844180
191082787,true,golden,26,8/12/2012 14:11:38,Caution and advice,0.6447,Unknown,73427534259298304,0,Nicogalindo7,Thank god possible tornado moved away from this area. Praying this tornado doesn't really cause destruction!,229896843
191082788,false,finalized,3,8/12/2012 13:05:40,Unknown,1.0,,73431283845431200,0,Jasshakindatass,Niggas wanna text me talkin bout whats up what u doin and I'm bout to be in a tornado lol suck a dick bitch nigga,199016504
191082789,true,golden,1,8/12/2012 12:59:56,Caution and advice,1.0,"Caution and advice
Unknown",73442380094779200,0,JockMed,Tornado headed toward us.... we're closing down for a while ...,279078782
191082790,false,finalized,3,8/12/2012 13:26:41,Unknown,1.0,,73577683333820400,1,KathyACFan22,Oh God NO Stupid&gt;â€œ@mepinmin: Westboro church is going to protest in #joplin?  That's too disgusting to even believe.â€,137374443
191082791,true,golden,1,8/12/2012 13:05:11,Caution and advice,1.0,"Caution and advice
Casualties and damage
Unknown",79652350872125408,0,LadiesLoveLoTTi,It's A Tornado Out Here Lol Trees Falling Down And Shxt!!! I Gotta Get Out The Country...This Typa Shxt Don't Happen In New York Lol,102531348
191082792,false,finalized,3,8/12/2012 13:29:37,"Donations of money, goods or services",0.6869,,75631765326270400,53,Byramerica, @BlaineGabbert: Everyone please take a minute to check out a great project I've started for all the tornado victims. http://tinyurl.c ...,66578033
191082793,true,golden,31,8/12/2012 14:07:52,"People missing, found or seen",0.892,"People missing, found or seen",72864403120324608,5,Witynfun, @achohelelwhy:  Update - Has Dementia! pls find him #Missing #Joplin Charles Writer (http://on.fb.me/kHaGEY) patient at #Greenbrier ...,49842578
191082794,false,finalized,3,8/12/2012 13:36:28,"Donations of money, goods or services",0.679,,73438944930435008,0,nicfraternity,@asaHQ that's a great initiative to support #Joplin! Hats off to you & @getsomegreek.,22089103
191082795,true,golden,1,8/12/2012 13:07:11,Caution and advice,1.0,Caution and advice,73835834020868000,0,metalchick73,"Tornado watch and already thunder, lightening and a splitting headache. What fun lies ahead (upstate NY)? #tornado",23000926
191082796,false,finalized,3,8/12/2012 13:28:10,Unknown,0.7032,,78152783404081104,0,_ErynAlexus,@MostDope_Kidd its supposed to be a tornado,294213295
191082797,false,finalized,3,8/12/2012 13:27:26,"Donations of money, goods or services",0.6499,,73393567820816304,0,okicemap,Please submit your #okhelp and #okneed on our Crowdmap: http://oktornado.crowdmap.com/reports/submit #oktornado #okwx Please ,109097315
191082798,true,golden,35,8/12/2012 14:08:21,Caution and advice,0.9149,Caution and advice,73196399465988000,11,HappyTwilighter," @rachelcaine: Tornado on the ground less than 5 miles away, guys. On the ground in Bedford. SEEK SHELTER IMMEDIATELY.",16431014
191082799,true,golden,34,8/12/2012 14:13:19,Caution and advice,0.7767,Caution and advice,76058089387855808,0,FozzieDBear,Wow. Tornado reported over in Bellingham and Milford (two towns I drive through to go home from work) thankfully it didn't touchdown.,47287642
191082800,true,golden,30,8/12/2012 14:12:04,Information source,0.6889,Information source,73206386942685104,3,mcontrerasjr, @txstormchasers: Heading south on the DNT at Eldorado. Going to have to core the huge hail core. LIVE VIDEO - http://tinyurl.com/22sa ...,155096214
191082801,true,golden,34,8/12/2012 14:10:14,Unknown,0.4454,Unknown,73317203432325104,0,fathyarsyn, @CandyNovelita:  @ddlovato please pray for the tornado victims.. PLEASE..,91709791
191082802,true,golden,34,8/12/2012 14:10:31,Information source,0.8148,Information source,76349829516754800,5,Pinkdaisyjane, @jasonboyett: This footage of the Mass. tornado sucking up water from the Connecticut River is ridiculously terrifying: http://yhoo.i ...,142336133
191082803,false,finalized,3,8/12/2012 13:26:22,"Donations of money, goods or services",0.6877,,74944171378606000,17,sarahcnewberry," @docmisterio: Hey #STL, I'm putting together a music sampler for #Joplin called #SongsForJoplin. Want to help promote? Help some othe ...",20819269
191082804,true,golden,35,8/12/2012 14:12:13,Caution and advice,0.8462,Caution and advice,73222711362588608,1,Mozbe, @CajunTechie: #Joplin #Missouri #tornado has been cancelled. More severe weather expected in the area tonight. Potentially severe. St ...,5574142
191082805,false,finalized,4,8/12/2012 13:35:42,Information source,0.273,,76707737878265696,0,sagourd,"My cop friend volunteered in #Joplin last wknd; she said people are driving there from Ark., Ill. & Cal. to loot! #despicable",41713884
191082806,true,golden,36,8/12/2012 14:07:52,Caution and advice,0.9632,Caution and advice,72796898787991504,2,weathertrek,"Possible #tornado on the ground near Ohio City, #Ohio. Cell has very strong low level rotation! ** SEEK SHELTER ** #OHWX Follow 4 updates.",152345486
191082807,false,finalized,3,8/12/2012 13:29:36,Information source,0.6753,,75124993318600704,329,cellblockrach," @TIME: This dog was sucked up by a tornado, but crawled home on two broken legs | http://ti.me/kVEEDu (via @TIMENewsFeed)",24721445
191082808,false,finalized,3,8/12/2012 14:04:23,Unknown,1.0,,76056579077718000,0,ZoieSoFabulous,I was just in Springfield last week and now I'm hearing a tornado hit #sad #pray,226029161
191082809,true,golden,32,8/12/2012 14:12:07,Caution and advice,0.8895,Caution and advice,74956419295739904,0,andr3scamilo,Tornado warning. #FML,103654597
191082810,true,golden,36,8/12/2012 14:12:04,"Donations of money, goods or services",0.4892,"Donations of money, goods or services",73452162247688000,0,clevelandnews1,Invacare helping disabled tornado survivors http://tf.to/sYf9,221336366
191082811,false,finalized,3,8/12/2012 13:26:49,Caution and advice,0.7016,,76076568715337600,0,KimberlyIsHere,"@BeccasOnTweeter Girl, you are tornado watching too much! If you need to, get to safety, OK!!",75674300
191082812,false,finalized,3,8/12/2012 13:23:43,Caution and advice,0.6869,,74962697623584704,0,FaitesAvecAmo,bitch it's a tornado.. ain't shit to be scared of! you betta get your bitch ass in the position they taught you in elementary!,140584262
191082813,true,golden,33,8/12/2012 14:11:43,"People missing, found or seen",0.7137,"People missing, found or seen",72864579910254400,0,EmptyNestQueen, @100prayingwomen: #Joplin #Missing Margaret Jorgensen 71y/o at #MercyVilliage suffers from Multiple Sclerosis contact http://on.fb.me ...,173280251
191082814,false,finalized,3,8/12/2012 13:19:31,"People missing, found or seen",1.0,,72928697769930704,0,Daneeo1985,Please help find Will Norton!! Please email all leads to findwillnorton@gmail.com or call 757 751 (Will)9455 #Joplin,21164558
191082815,false,finalized,3,8/12/2012 13:27:48,"Donations of money, goods or services",1.0,,72880873460084704,2738,baabybre," @RedCross: You can help us respond in #Joplin &continue our work in other states. Txt REDCROSS to 90999, or online: http://bit.ly/eZJDoJ",81749522
191082816,false,finalized,4,8/12/2012 14:25:46,Information source,0.4843,,73447497665748800,0,JustSayKB,Back at my desk after the tornado warning. That was fun. #sarcasm #thingsyoudontsayinNYC,22373
191082817,false,finalized,3,8/12/2012 13:29:31,"Donations of money, goods or services",1.0,,78073578213486400,0,KatieBea," @tpmedia: Tornado survivors in Joplin, Mo., will be getting quilts from shop in Victor http://t.co/TvLmg4j",61923237
191082818,false,finalized,3,8/12/2012 13:25:19,Caution and advice,0.678,,76092452997562304,0,dunkman,"Tornado forming over river, awesome.  http://bit.ly/kUDYU2",14594441
191082819,false,finalized,3,8/12/2012 13:30:12,Unknown,0.6882,,74936670222422000,1,LyElect2012,Our thoughts and prayers are with the people of #Joplin.,251326118
191082820,true,golden,27,8/12/2012 14:12:04,Unknown,0.6059,Unknown,72654175921647600,1,robertdoran63, @NateOlsen: Thoughts and prayers headed to #Joplin.,286211762
191082821,true,golden,36,8/12/2012 14:25:46,Caution and advice,0.8423,Caution and advice,73932061613887296,0,TheTreacher,I'm pretty sure that's the tornado siren.,53548370
191082822,true,golden,33,8/12/2012 14:13:16,Caution and advice,0.6981,Caution and advice,73209483505041408,0,AHizz," @andybaldwin: Confirmed tornado on the ground in Dallas near Love Field. ""Softball-sized hail."" via @baxterholmes",21337398
191082823,false,finalized,3,8/12/2012 13:14:11,Caution and advice,0.6623,,73203254271553504,1,ConleyUGK,That Tornado Warning Shit just came on my Tv..,153655583
191082824,true,golden,33,8/12/2012 14:07:29,"Donations of money, goods or services",0.7682,"Donations of money, goods or services",73894035332399104,1,NancyArmstrongT, @rqskye: #MONeeds #Volunteers City DistCtr to form teams we are sending into the area to help people with clean up. Open every day 9a ...,256116855
191082825,false,finalized,3,8/12/2012 13:17:07,Caution and advice,0.686,,73822678636695504,0,_Megan_Renae_,@Lil_Wyte_ Man I swear #MotherNature has been pissed of in 2011. We got tornado warnings all over the Mtown&lt;&lt;she needs to get laid. haha,49187479
191082826,false,finalized,3,8/12/2012 13:26:04,Information source,0.6951,,73887268590469104,0,ChrisSnr,"I just uploaded ""VIOLENT Dibble/Washington/Goldsby Tornado! May 24, 2011"" on Vimeo: http://vimeo.com/24290944",15731513
191082827,false,finalized,3,8/12/2012 13:30:01,Caution and advice,1.0,,73623010426372000,0,jasonrosborn,Murfreesboro PD confirming a tornado touchdown in Rutherford county. The storm is really cranking up here in the Lascassas Pike area....,14702144
191082828,false,finalized,3,8/12/2012 13:28:28,"Donations of money, goods or services",0.6963,,72666576628883296,2738,gaylapxoxo," @RedCross: You can help us respond in #Joplin &continue our work in other states. Txt REDCROSS to 90999, or online: http://bit.ly/eZJDoJ",218756210
191082829,true,golden,3,8/12/2012 13:23:50,Casualties and damage,0.6562,Casualties and damage,78918229342420800,5,akcanwjanitor, @WISCTV_News3: Weather Service Confirms to News 3 an EF1 Tornado did damage in Verona. We'll have more details online shortly.,90613781
191082830,false,finalized,4,8/12/2012 14:12:04,Unknown,0.7605,,73831957636726704,0,Zararugosa,Just back from Chanonry Point. We  went to watch 2 Tornado Jets do a fly past of Fort George. Amazing. Never tire of watching them :-)),82806478
191082831,false,finalized,3,8/12/2012 13:27:26,Caution and advice,1.0,,73581577040445408,0,True_Cdesigns,"Tornado alarms blasting in the city, and all I'm thinking is Yippeee! I still have internet connection",248671344
191082832,true,golden,2,8/12/2012 13:10:24,Caution and advice,1.0,Casualties and damage,73205155683770304,0,wdglover,"Take cover Dallas!  @JimCantore DAMAGE IN DALLAS COUNTY NEAR EAGLE FORD, TX REPOS OF LARGE #TORNADO ON GROUND #txwx",15188087
191082833,false,finalized,3,8/12/2012 13:21:48,"Donations of money, goods or services",0.6529,,73350972029681600,1,RCdeWinter,"@joelieberman #99ers are the same as #tornado victims; the destruction of our lives is just as bad, only slower. PLEASE: #JOBS & #HR589",41207820
191082834,false,finalized,3,8/12/2012 13:38:14,Unknown,0.6972,,76160638883348400,0,areuliving,The tornado took this dude hamburger!,78531937
191082835,false,finalized,3,8/12/2012 13:29:31,Caution and advice,1.0,,73221478635683808,0,wendylefty,Tornado on ground in Southern Dallas County.,17252004
191082836,false,finalized,3,8/12/2012 13:28:08,"People missing, found or seen",0.3428,,73549898334740400,1,karensoro,"#tornado. Oh dear, just found out Jim Canatore is in town- that can't be good #HAARP",18514406
191082837,false,finalized,3,8/12/2012 13:28:09,Caution and advice,1.0,,76073722515173200,0,slashway,Emergency crews flying down highway toward Springfield at an alarming rate. Wish I stayed for the second #tornado.,30576148
191082838,false,finalized,3,8/12/2012 13:28:31,Caution and advice,1.0,,73884357428916096,0,CreoleDollFACE,Lol so there is a tornado warning outside n im at work -_-,42723418
191082839,false,finalized,3,8/12/2012 13:13:33,Unknown,1.0,,73467181651861504,0,tinkpink36,"All our thoughts n prayers go out to the tornado victims of Ok, AR, n TX",41971639
191082840,false,finalized,3,8/12/2012 13:29:05,Caution and advice,1.0,,73423890084413408,0,MichaelaBondon,Tornado heading up Nall into Leawood. This is far too close for comfort. YIKES! I'm seriously scared! #kcstorms #tornado #FB #praying,11353052
191082841,true,golden,31,8/12/2012 14:08:21,Unknown,0.7288,Unknown,73362284159827904,0,chocolatemissy,Right  @honeyrodriguez whats up with all these tornado's everywhere smh!,41255260
191082842,false,finalized,3,8/12/2012 13:16:54,"Donations of money, goods or services",0.6944,,72794408583561200,2738,McKayBuzz," @RedCross: You can help us respond in #Joplin &continue our work in other states. Txt REDCROSS to 90999, or online: http://bit.ly/eZJDoJ",67053584
191082843,false,finalized,4,8/12/2012 14:18:50,Unknown,0.7638,,73552085165158400,894,erikaamonsterr, @kingsleyyy: so basically the tornado came up to me and i was like BITCH PLZ and so it went somewhere else,286680083
191082844,false,finalized,3,8/12/2012 14:13:16,"Donations of money, goods or services",1.0,,79736272897314800,1,chrisnunn, @EmWelsh36: Alabama tornado relief in 101* heat. So rewarding. Not your average Saturday. #volunteering #stormtroopers @chrisnunn htt ...,17843554
191082845,false,finalized,3,8/12/2012 13:56:32,Unknown,0.7043,,75752949799845696,0,sjurassic23,my room looks like it was hit with not only a bomb but a tornado and a hurricane.,258828935
191082846,false,finalized,3,8/12/2012 13:26:52,Caution and advice,1.0,,74961017645445104,0,Lil_Woadie,It was a tornado in GB but it's gone now  @TheeSBM: @Lil_Woadie wht tornado,284867786
191082847,true,golden,1,8/12/2012 12:57:03,Casualties and damage,1.0,Caution and advice,73454719217045504,0,ChristopherAbel,"After hearing the tornado sirens, Pastor Daniel just told all the staff to go hide downstairs... before leaving in his tiny red car...",14513905
191082848,false,finalized,3,8/12/2012 13:30:12,"Donations of money, goods or services",1.0,,77717841012469600,0,FinckandPerras,You can make a donation via text to the Salvation Army's tornado relief in Massachusetts. A $10 minimum donation... http://fb.me/14rrB2wII,39763528
191082849,true,golden,3,8/12/2012 13:20:47,"People missing, found or seen",0.7015,"People missing, found or seen",74927786522980304,11,dinglemunch," @JoplinGlobe: ""You see, there are heroes all around us,"" President Barack Obama, at Joplin Tornado Memorial.",15406744
191082850,false,finalized,3,8/12/2012 14:13:16,Caution and advice,1.0,,76004894670208896,0,josie__huang,"Tornado watch upgraded to warning in ctrl Oxfd Cty. Wther svc: ""Severe thunderstorm capable of producing a tornado 11 miles west of Bethel""",38602009
191082851,false,finalized,3,8/12/2012 13:31:18,Casualties and damage,1.0,,78638855741374400,0,DJSCUFFS,Driving.. it appears my area got hit the worst. Tornado in my backyard.. Next street over shut down w/ fire trucks and caution tape..,69347686
191082852,false,finalized,3,8/12/2012 13:36:06,Caution and advice,1.0,,74946153061420896,0,seriousstarss,Is that the ice cream truck? No wait shit thats a tornado warning siren,145416157
191082853,false,finalized,3,8/12/2012 13:18:54,Caution and advice,1.0,,74953214499360704,0,ericasimpsonize,There's a tornado warning around my area. :$,241716004
191082854,false,finalized,3,8/12/2012 13:16:46,Unknown,0.662,,73229852681056096,36,_Austintatious_, @hipsterrunoff: Praying 4 all of the alts who might swirl in some Dorthy-waves [via tornado warning],34284961
191082855,false,finalized,3,8/12/2012 13:17:30,Caution and advice,0.6603,,73442879292440400,4,BOS_KLB," @wharman: Jeez, Kansas City. You didn't have to organize such a dramatic welcome. #tornado Warning is lifted. We're going to have lun ...",179985977
191082856,false,finalized,3,8/12/2012 13:28:57,Caution and advice,1.0,,74952964099416000,0,Miss_Lolo17,Tornado warning?,163984152
191082857,false,finalized,3,8/12/2012 13:26:05,Unknown,1.0,,76050359814078400,0,brittanysellss,No more tornado. #sicklife,298268932
191082858,false,finalized,3,8/12/2012 13:23:33,Caution and advice,1.0,,73174454171205600,0,mpf2011,"If ing #tornado warnings, note the time of the original tweet or information. Don't tweet old information--not helpful.",78649756
191082859,false,finalized,3,8/12/2012 13:24:50,Unknown,1.0,,76003116876705600,0,40yardsplash,"@seanbot Seriously, if we can beat a tornado, we can definitely beat some drunken hipsters.",102172489
191082860,false,finalized,3,8/12/2012 13:20:10,Caution and advice,1.0,,73550438401720304,0,alexajoyful,@BurnhamSWAT wow!! i was just in a tornado warning but it wasn't that bad! i hope it blows over fast!,162749688
191082861,false,finalized,3,8/12/2012 13:21:53,Caution and advice,1.0,,78965368261062496,0,dutty18,@CarolineManzo yes they are it looks like a tornado is coming,38592225
191082862,false,finalized,3,8/12/2012 13:37:59,"Donations of money, goods or services",1.0,,76448442985086800,0,sticker231,@MWRteam awesome jobs you guys are doing getting donations for the tornado victims!,258528352
191082863,false,finalized,3,8/12/2012 13:29:15,Information source,0.3494,,72723455014993904,1,goMarielle," @CygnetUpdates:  @mediaphish: If you are working in the city of #joplin and need a hot meal, the Humphrey's family at 310 N Wall ha ...",135405245
191082864,false,finalized,4,8/12/2012 13:35:42,Unknown,0.7526,,73485668550053696,0,FU_Bat,Still amazed at seeing a tornado yesterday.,15242709
191082865,false,finalized,3,8/12/2012 13:27:11,Unknown,0.3756,,73409039714877408,15,skottdaltonic," @peterflom: GOP message: We give aid to billionaires, not tornado victims.  #p2 #p21 #tlot",4178071
191082866,false,finalized,3,8/12/2012 13:37:37,Caution and advice,1.0,,76082611570749408,0,musicbelieber21,am i the only one who's been in a soccer game when the tornado sirens go off?? OUTTA TOWN!...n a tornado actually hit it was SCARY!,136838442
191082867,false,finalized,3,8/12/2012 13:27:11,Casualties and damage,1.0,,77079355364343808,0,emilyroseartist, @velvetrasputin: The tornado damage in N. Minneapolis.   http://youtu.be/icvSJUWHHi0 -- damn... just glad my friends are all safe,24076368
191082868,false,finalized,3,8/12/2012 13:23:33,Casualties and damage,1.0,,73875018001563600,0,badenusf,"We just passed some major tornado damage in Birmingham, AL",290005692
191082869,false,finalized,3,8/12/2012 13:24:50,Caution and advice,0.6586,,73852514667216800,0,Wise_Ju,"Damn tornado warning don't mean shit 2 me. Motherfucka, I have survived Katrina's bitch ass, 2 tornados & a blizzard. Just another day 2 me",262920360
191082870,false,finalized,3,8/12/2012 13:18:23,Unknown,1.0,,78086741986246496,0,onica71,"Rain, sleet, or tornado..... McDonalds...:)",107514431
191082871,false,finalized,3,8/12/2012 13:22:01,Information source,0.655,,72797530861219808,0,CaseCarp,Watching NBC News coverage from #Joplin. Sad to see the lives torn apart by this disaster. Thoughts continue to be with you. #MIZforJOPLIN,202254496
191082872,false,finalized,3,8/12/2012 13:30:35,Unknown,1.0,,74940841118023600,1,_OhHotDamn,So I was enjoying myself watching TV then the damn tornado thing interrupted my show. #great,241763415
191082873,false,finalized,3,8/12/2012 13:19:52,Caution and advice,0.6395,,76014577837539200,0,anthonybrindisi,Tornado warning..ok im goin to take my bike nd go get something to eat,304983979
191082874,false,finalized,3,8/12/2012 13:35:55,Caution and advice,1.0,,73537883012739008,0,hckyle,Just drove right under a tornado forming.....holy shit....are we home yet???????,24485410
191082875,false,finalized,3,8/12/2012 13:27:26,Caution and advice,1.0,,73210018794704800,0,Avs2Hawksfan,"@BorisVincze Yep same for us, our tornado chances went down, still sitting here ready to drive to safety though.",242989154
191082876,true,golden,4,8/12/2012 13:30:25,"Donations of money, goods or services",1.0,"Donations of money, goods or services",77744570376527808,0,ShowMeOKC, @tmoneyhoops: TODAY Pizza Hut is donating 15% of sales 2 the United Way Tornado Disaster Fund. Head to 23rd/Blackwelder Pizza Hut today!,11573792
191082877,false,finalized,3,8/12/2012 13:11:03,Caution and advice,0.6641,,78926619049328608,0,MustachedOwls,"Looks like another tornado. Yep, got all my books in the basement.",309990732
191082878,false,finalized,3,8/12/2012 13:36:39,Unknown,0.3589,,74137241152270304,0,prchixtammie,"How awesome ""@ColinD15: My best #redcross moment of the year: having a 21-yr-old #joplin survivor tell me we're family.""",19201509
191082879,false,finalized,3,8/12/2012 13:35:04,Unknown,0.6954,,73919468258078704,0,cdouglas716,@UG_cheds some guy that came into allens told me he was throwing a tornado party. They're goin to watch the movie Twister and play twister.,283249122
191082880,false,finalized,3,8/12/2012 13:24:03,"People missing, found or seen",0.6934,,73249071883755504,2,alexcampbell11,Please pray for a family in Joplin who is looking for their 16 month old son. Went missing during tornado http://tinyurl.com/3oeyxft,38526540
191082881,false,finalized,3,8/12/2012 14:05:53,Caution and advice,1.0,,74919690048253904,0,MaloneMK,tornado warning issed for st. joseph county. sky is almost black.,151272143
191082882,false,finalized,3,8/12/2012 13:29:39,Casualties and damage,0.7028,,76014668220600304,0,rschallom," @stefkienstra: JOPLIN -- Gov. Jay Nixon announces zero people missing, 134 reported deceased. #JoplinTornado",20162581
191082883,false,finalized,3,8/12/2012 13:37:52,Caution and advice,1.0,,73194130024566704,0,codyedwards,@jbluther ... and now we're under a tornado watch for the same storm system that hit OK.,15461067
191082884,true,golden,3,8/12/2012 13:12:03,"Donations of money, goods or services",1.0,"Donations of money, goods or services",75360690617057200,19,HisupPD, @Shirtisred: If this tweet gets 15 's...I will donate 15 dollars to the Red Cross for the Tornado Victims across the U.S. :D ! xD,224041679
191082885,false,finalized,3,8/12/2012 13:58:55,Caution and advice,0.6765,,73173109938732896,1,shybullwinkle," @JimmyMcIver:  @victoria_29: #Debris falling on #I 40 #Tornado has lifted, a mile & 1/2 west of Casino/seems headed toward Tulsa, h ...",132636317
191082886,false,finalized,3,8/12/2012 12:56:25,Caution and advice,1.0,,73353651854393200,0,Jamerz2043,Wow this tornado was WAY closer than Joplin :(,30950468
191082887,false,finalized,3,8/12/2012 13:37:52,Unknown,0.6508,,73141656085463008,2,CarlosesdelColo, @befierce: Pray for Missouri :( #Joplin,24205748
191082888,false,finalized,3,8/12/2012 13:26:00,Caution and advice,1.0,,74947169957842800,0,slooch3,tornado warning and the mall on lockdown. oh shit. meridian goin nuts.,213124037
191082889,false,finalized,3,8/12/2012 13:34:42,Caution and advice,1.0,,73197320937807808,788,AlEeeeEeXa," @whoaitsmonica: Sirens started going off. Tornado has officially touched down in my hometown, super worried about my family right. #p ...",50368904
191082890,false,finalized,3,8/12/2012 14:12:13,Caution and advice,0.6659,,73427810747817904,0,I_LuvU_Jodey,TAKE COVER!!! #TORNADO!!,215395747
191082891,false,finalized,3,8/12/2012 13:24:34,Unknown,0.6457,,73925778013827008,0,IM_UR_FAVORITE_,@prettypee they better they don't have no tornado watch huh,100711814
191082892,false,finalized,3,8/12/2012 13:26:41,Information source,1.0,,73255585100996608,0,JackiYo, @Cassandralea: Before and after photos of #joplin ... WOW http://t.co/wxe7i5B,20790050
191082893,false,finalized,3,8/12/2012 13:14:40,Caution and advice,1.0,,73218156658823104,0,preety909,Please be praying for everybody here in Joplin! Tornado sirens once again. :(,71912945
191082894,false,finalized,3,8/12/2012 13:24:27,Unknown,0.6339,,74918241344044896,0,taylorgunnordie,mmmm tornado watch &lt;3,67509503
191082895,false,finalized,3,8/12/2012 13:28:16,Caution and advice,1.0,,73423573724823504,0,wheelcrimm,Tornado headed right for the sprint headquarters...dad if you see this I'm in Hannah's basement! #scared,44987146
191082896,true,golden,1,8/12/2012 12:51:35,Casualties and damage,1.0,"Casualties and damage
Information source",74914138601688896,79,JD_Gaffle," @BreakingNews: Watch live: Memorial service for tornado victims in Joplin, Mo. http://on.msnbc.com/kpdG7A",22382549
