,category,description,ends,event,headline,messageType,place,senderName,sent,severity,urgency
49,Met,Monitoring message only. Please disregard.,,Test Message,,Alert,Montgomery,NWS,2019-04-16 21:25:40,Unknown,Unknown
44,Met,Monitoring message only. Please disregard.,,Test Message,,Alert,Montgomery,NWS,2019-04-16 21:35:40,Unknown,Unknown
42,Met,Monitoring message only. Please disregard.,,Test Message,,Alert,Montgomery,NWS,2019-04-16 21:45:40,Unknown,Unknown
39,Met,Monitoring message only. Please disregard.,,Test Message,,Alert,Montgomery,NWS,2019-04-16 21:55:40,Unknown,Unknown
37,Met,Monitoring message only. Please disregard.,,Test Message,,Alert,Montgomery,NWS,2019-04-16 22:05:40,Unknown,Unknown
36,Met,Monitoring message only. Please disregard.,,Test Message,,Alert,Montgomery,NWS,2019-04-16 22:15:40,Unknown,Unknown
35,Met,Monitoring message only. Please disregard.,,Test Message,,Alert,Montgomery,NWS,2019-04-16 22:25:40,Unknown,Unknown
34,Met,Monitoring message only. Please disregard.,,Test Message,,Alert,Montgomery,NWS,2019-04-16 22:35:40,Unknown,Unknown
33,Met,Monitoring message only. Please disregard.,,Test Message,,Alert,Montgomery,NWS,2019-04-16 22:45:40,Unknown,Unknown
31,Met,Monitoring message only. Please disregard.,,Test Message,,Alert,Montgomery,NWS,2019-04-16 22:55:40,Unknown,Unknown
29,Met,Monitoring message only. Please disregard.,,Test Message,,Alert,Montgomery,NWS,2019-04-16 23:05:40,Unknown,Unknown
27,Met,Monitoring message only. Please disregard.,,Test Message,,Alert,Montgomery,NWS,2019-04-16 23:15:40,Unknown,Unknown
26,Met,Monitoring message only. Please disregard.,,Test Message,,Alert,Montgomery,NWS,2019-04-16 23:25:40,Unknown,Unknown
20,Met,Monitoring message only. Please disregard.,,Test Message,,Alert,Montgomery,NWS,2019-04-16 23:35:40,Unknown,Unknown
19,Met,Monitoring message only. Please disregard.,,Test Message,,Alert,Montgomery,NWS,2019-04-16 23:45:40,Unknown,Unknown
15,Met,Monitoring message only. Please disregard.,,Test Message,,Alert,Montgomery,NWS,2019-04-16 23:55:40,Unknown,Unknown
13,Met,Monitoring message only. Please disregard.,,Test Message,,Alert,Montgomery,NWS,2019-04-17 00:05:40,Unknown,Unknown
11,Met,Monitoring message only. Please disregard.,,Test Message,,Alert,Montgomery,NWS,2019-04-17 00:15:40,Unknown,Unknown
7,Met,Monitoring message only. Please disregard.,,Test Message,,Alert,Montgomery,NWS,2019-04-17 00:25:40,Unknown,Unknown
5,Met,Monitoring message only. Please disregard.,,Test Message,,Alert,Montgomery,NWS,2019-04-17 00:35:40,Unknown,Unknown
4,Met,Monitoring message only. Please disregard.,,Test Message,,Alert,Montgomery,NWS,2019-04-17 00:45:40,Unknown,Unknown
0,Met,Monitoring message only. Please disregard.,,Test Message,,Alert,Montgomery,NWS,2019-04-17 00:55:40,Unknown,Unknown
494,Met,"Big Sioux River AT Watertown
Big Sioux River Near Castlewood

.The following river forecasts include forecast precipitation through
the next 24 hours. Any additional future precipitation could affect
the forecasts.
The Flood Warning continues for
The Big Sioux River AT Watertown.
* until further notice.
* At 8:15 AM Tuesday the stage was 8.2 feet.
* Minor flooding is occurring and Moderate flooding is forecast.
* Flood stage is 8.0 feet.
* Forecast...The river will continue rising to near 10.6 feet by
Saturday morning. Additional rises may be possible thereafter.
* At 10.5 feet...Sioux Conifer Road begins flooding.",,Flood Warning,Flood Warning issued April 16 at 9:06AM CDT by NWS Aberdeen SD,Update,"Codington, SD",NWS Aberdeen SD,2019-04-16 14:06:00,Severe,Immediate
495,Met,"Big Sioux River AT Watertown
Big Sioux River Near Castlewood

.The following river forecasts include forecast precipitation through
the next 24 hours. Any additional future precipitation could affect
the forecasts.
The Flood Warning continues for
The Big Sioux River Near Castlewood.
* until further notice.
* At 8:45 AM Tuesday the stage was 10.1 feet.
* Minor flooding is occurring and Moderate flooding is forecast.
* Flood stage is 9.0 feet.
* Forecast...The river will continue rising to near 12.3 feet by
Wednesday evening. Additional rises may be possible thereafter.
* At 11.7 feet...Significant amounts of pasture and other
agricultural land will be flooded.",,Flood Warning,Flood Warning issued April 16 at 9:06AM CDT by NWS Aberdeen SD,Update,"Hamlin, SD",NWS Aberdeen SD,2019-04-16 14:06:00,Severe,Immediate
267,Met,"James River At Columbia
James River Near Stratford
James River At Ashton
James River Near Redfield

.The following river forecasts include forecast precipitation through
the next 24 hours. Any additional future precipitation could affect
the forecasts.
The Flood Warning continues for
The James River At Ashton.
* until further notice.
* At 10:45 AM Tuesday the stage was 20.1 feet.
* Major flooding is occurring and Major flooding is forecast.
* Flood stage is 13.0 feet.
* Forecast...The river will continue rising to near 21.5 feet by
Saturday afternoon. Additional rises may be possible thereafter.
* At 21.0 feet...The main east-west highway begins to flood on the
east bank of the river and the water overtops the bridge 2 miles
south and 1 mile east of Ashton.",,Flood Warning,Flood Warning issued April 16 at 11:01AM CDT by NWS Aberdeen SD,Update,"Spink, SD",NWS Aberdeen SD,2019-04-16 16:01:00,Severe,Immediate
268,Met,"James River At Columbia
James River Near Stratford
James River At Ashton
James River Near Redfield

.The following river forecasts include forecast precipitation through
the next 24 hours. Any additional future precipitation could affect
the forecasts.
The Flood Warning continues for
The James River Near Stratford.
* until further notice.
* At 10:45 AM Tuesday the stage was 18.4 feet.
* Moderate flooding is occurring and Major flooding is forecast.
* Flood stage is 14.0 feet.
* Forecast...The river will continue rising to near 19.5 feet by
Wednesday, April 24th. Additional rises may be possible thereafter.
* At 19.5 feet...The bridge on 148th Street is under water.",,Flood Warning,Flood Warning issued April 16 at 11:01AM CDT by NWS Aberdeen SD,Update,"Brown, SD; Spink, SD",NWS Aberdeen SD,2019-04-16 16:01:00,Severe,Immediate
269,Met,"James River At Columbia
James River Near Stratford
James River At Ashton
James River Near Redfield

.The following river forecasts include forecast precipitation through
the next 24 hours. Any additional future precipitation could affect
the forecasts.
The Flood Warning continues for
The James River At Columbia.
* until further notice.
* At 10:15 AM Tuesday the stage was 18.6 feet.
* Major flooding is occurring and Major flooding is forecast.
* Flood stage is 13.0 feet.
* Forecast...The river will remain steady for the next several days,
then will slowly begin to fall.
* At 18.5 feet...The water reaches the bottom of the bridge at the
gauging location on Brown County 16..",,Flood Warning,Flood Warning issued April 16 at 11:01AM CDT by NWS Aberdeen SD,Update,"Brown, SD",NWS Aberdeen SD,2019-04-16 16:01:00,Severe,Immediate
270,Met,"James River At Columbia
James River Near Stratford
James River At Ashton
James River Near Redfield

.The following river forecasts include forecast precipitation through
the next 24 hours. Any additional future precipitation could affect
the forecasts.
The Flood Warning continues for
The James River Near Redfield.
* until further notice.
* At 10:45 AM Tuesday the stage was 21.5 feet.
* Minor flooding is occurring and Major flooding is forecast.
* Flood stage is 20.0 feet.
* Forecast...The river will continue rising to near 30.0 feet by
Monday afternoon. Additional rises may be possible thereafter.
* At 31.0 feet...The bridge on County Road 15 1 mile northwest of the
gauge is overtopped.",,Flood Warning,Flood Warning issued April 16 at 11:01AM CDT by NWS Aberdeen SD,Update,"Spink, SD",NWS Aberdeen SD,2019-04-16 16:01:00,Severe,Immediate
257,Met,"Turtle Creek At Redfield

.The following river forecasts include forecast precipitation through
the next 24 hours. Any additional future precipitation could affect
the forecasts.
The Flood Warning continues for
The Turtle Creek At Redfield.
* until further notice.
* At 7:10 AM Tuesday the stage was 7.4 feet.
* Minor flooding is occurring and Major flooding is forecast.
* Flood stage is 7.0 feet.
* Forecast...The river will continue rising to near 16.2 feet by
Sunday morning. Additional rises may be possible thereafter.
* At 15.0 feet...The bridge into Bula Park goes under water.",,Flood Warning,Flood Warning issued April 16 at 11:05AM CDT by NWS Aberdeen SD,Update,"Spink, SD",NWS Aberdeen SD,2019-04-16 16:05:00,Severe,Immediate
136,Met,"Snake Creek Near Ashton

.The following river forecasts include forecast precipitation through
the next 24 hours. Any additional future precipitation could affect
the forecasts.
The Flood Warning continues for
The Snake Creek Near Ashton.
* until further notice.
* At 7:10 AM Tuesday the stage was 12.7 feet.
* Minor flooding is occurring and Major flooding is forecast.
* Flood stage is 11.5 feet.
* Forecast...The river will continue rising to near 16.7 feet by
Saturday morning. Additional rises may be possible thereafter.
* At 15.5 feet...The bridges 1 mile east and 1 mile northwest of the
gauge are both overtopped.",,Flood Warning,Flood Warning issued April 16 at 1:42PM CDT by NWS Aberdeen SD,Update,"Spink, SD",NWS Aberdeen SD,2019-04-16 18:42:00,Severe,Immediate
337,Met,"The Flood Warning continues for
The Schroon River At Riverbank.
* Until further notice.
* At 10 AM Tuesday the stage was 8.0 feet.
* Flood stage is 7.0 feet.
* Moderate flooding is occurring and Moderate flooding is forecast.
* The river is forecast to continue rising to near 8.1 feet by  2 PM
Tuesday ...Then begin falling.
* Impact...At 8.0 feet...Water reaches moderate flood stage. Water
surrounds several homes on Schroon River Road.",,Flood Warning,Flood Warning issued April 16 at 11:16AM EDT by NWS Albany NY,Update,"Warren, NY",NWS Albany NY,2019-04-16 15:16:00,Severe,Immediate
79,Met,"* Affected Area...In Oklahoma...Cimarron. In Texas...Dallam...
Hartley...Oldham and Deaf Smith.

* 20 Foot Winds...Southwest 15 to 25 mph with gusts up to 35 mph.

* Relative Humidity...As low as 10 percent.

* Red Flag Threat Index...3 to 4.

* Timing...3 pm to 8 pm this afternoon.",2019-04-17 01:00:00,Red Flag Warning,Red Flag Warning issued April 16 at 3:52PM CDT until April 16 at 8:00PM CDT by NWS Amarillo TX,Update,Dallam; Hartley; Deaf Smith; Cimarron; Oldham,NWS Amarillo TX,2019-04-16 20:52:00,Severe,Expected
16,Met,"A cold upper trough brings cooling temperatures and potential for
snow across Southcentral tonight and Wednesday. Precipitation is
expected to start as rain this evening in most areas and
transition to snow or a mix of rain and snow after midnight. Lower
elevations across the Anchorage Bowl to the Matanuska Valley
should stay predominately rain with an occasional mix of snow into
Wednesday with no snow accumulations expected on the roadways.
However, higher elevations across the Anchorage Bowl and Matanuska
Valley, and the northern Susitna Valley could see a couple of
inches of new snow overnight. Conditions will likely become more
showery Wednesday and Thursday and stay on the cooler side.",,Special Weather Statement,"Special Weather Statement issued April 16 at 3:55PM AKDT by NWS Anchorage, AK",Alert,Anchorage; Susitna Valley; Matanuska Valley,"NWS Anchorage, AK",2019-04-16 23:55:00,Moderate,Expected
418,Met,"Winds are diminishing. Occasional gusts to 20 knots may linger
into the afternoon.",2019-04-16 15:00:00,Small Craft Advisory,Small Craft Advisory issued April 16 at 10:40AM EDT until April 16 at 11:00AM EDT by NWS Baltimore MD/Washington DC,Update,Chesapeake Bay from Sandy Point to North Beach MD; Chesapeake Bay north of Pooles Island MD; Patuxent River to Broomes Island MD; Chester River to Queenstown MD; Chesapeake Bay from Drum Point MD to Smith Point VA; Chesapeake Bay from North Beach to Drum Point MD; Eastern Bay; Patapsco River including Baltimore Harbor; Choptank River to Cambridge MD and the Little Choptank River; Tidal Potomac from Cobb Island MD to Smith Point VA; Tangier Sound and the inland waters surrounding Bloodsworth Island; Chesapeake Bay from Pooles Island to Sandy Point MD,NWS Baltimore MD/Washington DC,2019-04-16 14:40:00,Minor,Expected
154,Met,"Winds along the tidal waters, particularly near the shoreline,
will occasionally gust to 20 knots this afternoon. The wind will
subside by this evening.",,Marine Weather Statement,Marine Weather Statement issued April 16 at 1:44PM EDT by NWS Baltimore MD/Washington DC,Alert,Chesapeake Bay from Sandy Point to North Beach MD; Chester River to Queenstown MD; Chesapeake Bay from North Beach to Drum Point MD; Eastern Bay; Patapsco River including Baltimore Harbor; Choptank River to Cambridge MD and the Little Choptank River; Tidal Potomac from Cobb Island MD to Smith Point VA; Chesapeake Bay from Pooles Island to Sandy Point MD; Tangier Sound and the inland waters surrounding Bloodsworth Island; Chesapeake Bay north of Pooles Island MD; Patuxent River to Broomes Island MD; Chesapeake Bay from Drum Point MD to Smith Point VA; Tidal Potomac from Key Bridge to Indian Head MD; Tidal Potomac from Indian Head to Cobb Island MD,NWS Baltimore MD/Washington DC,2019-04-16 17:44:00,Minor,Expected
499,Met,"Levels are now beginning to fall along the Upper Tombigbee River at
Bevill Lock and Dam...but Flood Warnings remain in effect along the
river.",2019-04-19 00:45:00,Flood Warning,Flood Warning issued April 16 at 9:04AM CDT until April 18 at 7:45PM CDT by NWS Birmingham AL,Update,"Marengo, AL; Greene, AL; Hale, AL; Sumter, AL",NWS Birmingham AL,2019-04-16 14:04:00,Severe,Immediate
484,Met,"* WINDS AND SEAS...West winds 20 to 25 kt with gusts up to 35
kt. Waves Around 2 feet.",2019-04-16 18:00:00,Gale Warning,Gale Warning issued April 16 at 10:07AM EDT until April 16 at 2:00PM EDT by NWS Boston/Norton MA,Update,Boston Harbor,NWS Boston/Norton MA,2019-04-16 14:07:00,Moderate,Expected
485,Met,"* WINDS AND SEAS...West winds 20 to 25 kt with gusts up to 35
kt. Seas 3 to 5 feet.",2019-04-16 18:00:00,Gale Warning,Gale Warning issued April 16 at 10:07AM EDT until April 16 at 2:00PM EDT by NWS Boston/Norton MA,Update,Massachusetts Bay and Ipswich Bay; Cape Cod Bay,NWS Boston/Norton MA,2019-04-16 14:07:00,Moderate,Expected
486,Met,"The National Weather Service in Boston/Norton has issued a Small
Craft Advisory, which is in effect until 4 PM EDT this afternoon.
The Gale Warning has been cancelled.

* WINDS AND SEAS...West winds 15 to 20 kt with gusts up to 30
kt. Waves Around 3 feet.",2019-04-16 20:00:00,Small Craft Advisory,Small Craft Advisory issued April 16 at 10:07AM EDT until April 16 at 4:00PM EDT by NWS Boston/Norton MA,Alert,Narragansett Bay,NWS Boston/Norton MA,2019-04-16 14:07:00,Minor,Expected
487,Met,"The National Weather Service in Boston/Norton has issued a Small
Craft Advisory, which is in effect until 4 PM EDT this afternoon.
The Gale Warning has been cancelled.

* WINDS AND SEAS...West winds 15 to 25 kt with gusts up to 30
kt. Seas 4 to 7 feet.",2019-04-16 20:00:00,Small Craft Advisory,Small Craft Advisory issued April 16 at 10:07AM EDT until April 16 at 4:00PM EDT by NWS Boston/Norton MA,Alert,Block Island Sound; Rhode Island Sound,NWS Boston/Norton MA,2019-04-16 14:07:00,Minor,Expected
488,Met,"* WINDS AND SEAS...West winds 20 to 25 kt with gusts up to 35
kt. Seas 3 to 5 feet.",2019-04-16 16:00:00,Gale Warning,Gale Warning issued April 16 at 10:07AM EDT until April 16 at 12:00PM EDT by NWS Boston/Norton MA,Update,Buzzards Bay; Nantucket Sound; Vineyard Sound,NWS Boston/Norton MA,2019-04-16 14:07:00,Moderate,Expected
489,Met,"* WINDS AND SEAS...West winds 20 to 30 kt with gusts up to 40
kt. Seas 7 to 10 feet.",2019-04-16 20:00:00,Gale Warning,Gale Warning issued April 16 at 10:07AM EDT until April 16 at 4:00PM EDT by NWS Boston/Norton MA,Update,Coastal waters from Provincetown MA to Chatham MA to Nantucket MA out 20 nm; Coastal waters east of Ipswich Bay and the Stellwagen Bank National Marine Sanctuary; Coastal Waters extending out to 25 nm South of Marthas Vineyard and Nantucket,NWS Boston/Norton MA,2019-04-16 14:07:00,Moderate,Expected
490,Met,The Gale Warning has been cancelled and is no longer in effect.,2019-04-16 21:00:00,Gale Warning,The Gale Warning has been cancelled.,Cancel,Narragansett Bay,NWS Boston/Norton MA,2019-04-16 14:07:00,Minor,Past
491,Met,"The National Weather Service in Boston/Norton has issued a Small
Craft Advisory, which is in effect until 4 PM EDT this afternoon.
The Gale Warning has been cancelled.

* WINDS AND SEAS...West winds 20 to 25 kt with gusts up to 30
kt. Seas 6 to 9 feet.",2019-04-16 20:00:00,Small Craft Advisory,Small Craft Advisory issued April 16 at 10:07AM EDT until April 16 at 4:00PM EDT by NWS Boston/Norton MA,Alert,Coastal Waters from Montauk NY to Marthas Vineyard extending out to 20 nm South of Block Island,NWS Boston/Norton MA,2019-04-16 14:07:00,Minor,Expected
492,Met,The Gale Warning has been cancelled and is no longer in effect.,2019-04-16 21:00:00,Gale Warning,The Gale Warning has been cancelled.,Cancel,Block Island Sound; Rhode Island Sound,NWS Boston/Norton MA,2019-04-16 14:07:00,Minor,Past
493,Met,The Gale Warning has been cancelled and is no longer in effect.,2019-04-16 21:00:00,Gale Warning,The Gale Warning has been cancelled.,Cancel,Coastal Waters from Montauk NY to Marthas Vineyard extending out to 20 nm South of Block Island,NWS Boston/Norton MA,2019-04-16 14:07:00,Minor,Past
295,Met,"* WINDS AND SEAS...West winds 15 to 25 kt with gusts up to 30
kt. Seas 5 to 8 feet.",2019-04-17 08:00:00,Small Craft Advisory,Small Craft Advisory issued April 16 at 11:50AM EDT until April 17 at 4:00AM EDT by NWS Boston/Norton MA,Update,Coastal Waters from Montauk NY to Marthas Vineyard extending out to 20 nm South of Block Island,NWS Boston/Norton MA,2019-04-16 15:50:00,Minor,Expected
297,Met,The Gale Warning has been cancelled and is no longer in effect.,2019-04-16 18:00:00,Gale Warning,The Gale Warning has been cancelled.,Cancel,Boston Harbor,NWS Boston/Norton MA,2019-04-16 15:50:00,Minor,Past
298,Met,The Gale Warning has been cancelled and is no longer in effect.,2019-04-16 16:00:00,Gale Warning,The Gale Warning has been cancelled.,Cancel,Buzzards Bay; Nantucket Sound; Vineyard Sound,NWS Boston/Norton MA,2019-04-16 15:50:00,Minor,Past
299,Met,"The National Weather Service in Boston/Norton has issued a Small
Craft Advisory, which is in effect until 8 PM EDT this evening.
The Gale Warning has been cancelled.

* WINDS AND SEAS...West winds 15 to 25 kt with gusts up to 30
kt. Seas 2 to 4 feet.",2019-04-17 00:00:00,Small Craft Advisory,Small Craft Advisory issued April 16 at 11:50AM EDT until April 16 at 8:00PM EDT by NWS Boston/Norton MA,Alert,Massachusetts Bay and Ipswich Bay; Cape Cod Bay,NWS Boston/Norton MA,2019-04-16 15:50:00,Minor,Expected
300,Met,"* WINDS AND SEAS...West winds 10 to 20 kt with gusts up to 30
kt. Seas 3 to 6 feet.",2019-04-17 03:00:00,Small Craft Advisory,Small Craft Advisory issued April 16 at 11:50AM EDT until April 16 at 11:00PM EDT by NWS Boston/Norton MA,Update,Block Island Sound; Rhode Island Sound,NWS Boston/Norton MA,2019-04-16 15:50:00,Minor,Expected
301,Met,"The National Weather Service in Boston/Norton has issued a Small
Craft Advisory, which is in effect until 8 PM EDT this evening.
The Gale Warning has been cancelled.

* WINDS AND SEAS...Northwest winds 15 to 20 kt with gusts up to
30 kt. Waves Around 2 feet.",2019-04-17 00:00:00,Small Craft Advisory,Small Craft Advisory issued April 16 at 11:50AM EDT until April 16 at 8:00PM EDT by NWS Boston/Norton MA,Alert,Boston Harbor,NWS Boston/Norton MA,2019-04-16 15:50:00,Minor,Expected
302,Met,"The National Weather Service in Boston/Norton has issued a Small
Craft Advisory, which is in effect until 8 PM EDT this evening.
The Gale Warning has been cancelled.

* WINDS AND SEAS...West winds 15 to 20 kt with gusts up to 30
kt. Seas 2 to 4 feet.",2019-04-17 00:00:00,Small Craft Advisory,Small Craft Advisory issued April 16 at 11:50AM EDT until April 16 at 8:00PM EDT by NWS Boston/Norton MA,Alert,Buzzards Bay; Nantucket Sound; Vineyard Sound,NWS Boston/Norton MA,2019-04-16 15:50:00,Minor,Expected
303,Met,"* WINDS AND SEAS...West winds 15 to 25 kt with gusts up to 40
kt. Seas 6 to 9 feet.",2019-04-16 20:00:00,Gale Warning,Gale Warning issued April 16 at 11:50AM EDT until April 16 at 4:00PM EDT by NWS Boston/Norton MA,Update,Coastal waters from Provincetown MA to Chatham MA to Nantucket MA out 20 nm; Coastal waters east of Ipswich Bay and the Stellwagen Bank National Marine Sanctuary; Coastal Waters extending out to 25 nm South of Marthas Vineyard and Nantucket,NWS Boston/Norton MA,2019-04-16 15:50:00,Moderate,Expected
304,Met,"* WINDS AND SEAS...West winds 10 to 20 kt with gusts up to 30
kt. Waves 2 to 3 feet.",2019-04-17 00:00:00,Small Craft Advisory,Small Craft Advisory issued April 16 at 11:50AM EDT until April 16 at 8:00PM EDT by NWS Boston/Norton MA,Update,Narragansett Bay,NWS Boston/Norton MA,2019-04-16 15:50:00,Minor,Expected
305,Met,The Gale Warning has been cancelled and is no longer in effect.,2019-04-16 18:00:00,Gale Warning,The Gale Warning has been cancelled.,Cancel,Massachusetts Bay and Ipswich Bay; Cape Cod Bay,NWS Boston/Norton MA,2019-04-16 15:50:00,Minor,Past
163,Met,"Connecticut River At Montague affecting Franklin and Hampshire
Counties
Connecticut River At Northampton affecting Hampden and Hampshire
Counties
Connecticut River At Thompsonville affecting Hartford and Hampden
Counties
Connecticut River At Middle Haddam affecting Middlesex County

...The Flood Warning continues for the following rivers in
Connecticut...
Connecticut River At Hartford affecting Hartford and Middlesex
Counties

The combination of recent heavy rainfall and snow melt across the
upper reaches of the Connecticut River basin have caused river gauge
readings along the lower Connecticut River to reach and exceed flood
stage levels.
The Flood Warning continues for
The Connecticut River At Northampton.
* until Wednesday morning...or until the warning is cancelled.
* At  1:00 PM Tuesday the stage was 112.5 feet.
* Flood stage is 112.0 feet.
* Minor flooding is occurring and Minor flooding is forecast.
* Forecast...The river will continue rising to near 112.6 feet by
this evening. The river will fall below flood stage early tomorrow.
* Impact...At 113.0 feet...Minor flooding will affect portions of
Northampton in the vicinity of the Oxbow and Hadley along Aqua
Vitae Drive. Farming interests in Hatfield outside flood dike
protection will experience flooding.",2019-04-17 15:36:00,Flood Warning,Flood Warning issued April 16 at 1:39PM EDT until April 17 at 11:36AM EDT by NWS Boston/Norton MA,Update,"Hampden, MA; Hampshire, MA",NWS Boston/Norton MA,2019-04-16 17:39:00,Severe,Immediate
